Text:  STATE YOU'VE GOT TO TAKE THE NEXT STEP YOURS IS THE ERA OF THE PLANETARY HOUSEHOLD AND YOU NEED THE ECONOMIC THINKING TO GO WITH THAT 
Conf:  4
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
024186 	0.324 	0.136 	0.111 	0.237 
024187 	0.313 	0.139 	0.116 	0.235 
024188 	0.304 	0.137 	0.116 	0.240 
024189 	0.297 	0.137 	0.116 	0.237 
024190 	0.290 	0.133 	0.115 	0.241 
024191 	0.284 	0.132 	0.115 	0.242 
024192 	0.279 	0.125 	0.116 	0.256 
024193 	0.276 	0.122 	0.115 	0.260 
024194 	0.273 	0.122 	0.116 	0.258 
024195 	0.271 	0.118 	0.116 	0.258 
024196 	0.271 	0.116 	0.114 	0.252 
024197 	0.271 	0.110 	0.115 	0.253 
024198 	0.271 	0.107 	0.116 	0.253 
024199 	0.272 	0.105 	0.117 	0.250 
024200 	0.276 	0.101 	0.116 	0.251 
024201 	0.282 	0.102 	0.115 	0.245 
024202 	0.289 	0.111 	0.113 	0.237 
024203 	0.296 	0.112 	0.114 	0.237 
024204 	0.302 	0.109 	0.117 	0.241 
024205 	0.312 	0.114 	0.114 	0.235 
024206 	0.320 	0.110 	0.113 	0.238 
024207 	0.328 	0.110 	0.116 	0.241 
024208 	0.340 	0.112 	0.112 	0.237 
024209 	0.350 	0.113 	0.114 	0.239 
024210 	0.360 	0.114 	0.115 	0.241 
024211 	0.372 	0.119 	0.113 	0.239 
024212 	0.378 	0.118 	0.112 	0.243 
024213 	0.384 	0.119 	0.116 	0.247 
024214 	0.394 	0.124 	0.113 	0.243 
024215 	0.400 	0.126 	0.114 	0.249 
024216 	0.405 	0.126 	0.115 	0.249 
024217 	0.410 	0.123 	0.117 	0.252 
024218 	0.412 	0.129 	0.118 	0.247 
024219 	0.415 	0.130 	0.116 	0.251 
024220 	0.417 	0.132 	0.114 	0.253 
024221 	0.417 	0.138 	0.114 	0.254 
024222 	0.418 	0.147 	0.113 	0.252 
024223 	0.419 	0.153 	0.111 	0.255 
024224 	0.421 	0.156 	0.110 	0.254 
024225 	0.422 	0.154 	0.111 	0.254 
024226 	0.424 	0.155 	0.110 	0.248 
024227 	0.426 	0.150 	0.111 	0.250 
024228 	0.428 	0.139 	0.110 	0.257 
024229 	0.426 	0.127 	0.111 	0.259 
024230 	0.425 	0.121 	0.112 	0.258 
024231 	0.422 	0.122 	0.113 	0.254 
024232 	0.420 	0.125 	0.111 	0.253 
024233 	0.417 	0.131 	0.112 	0.248 
024234 	0.413 	0.135 	0.113 	0.245 
024235 	0.408 	0.138 	0.116 	0.244 
024236 	0.404 	0.143 	0.116 	0.244 
024237 	0.400 	0.153 	0.113 	0.235 
024238 	0.395 	0.155 	0.112 	0.243 
024239 	0.391 	0.162 	0.112 	0.245 
024240 	0.384 	0.162 	0.114 	0.251 
024241 	0.379 	0.163 	0.117 	0.251 
024242 	0.377 	0.166 	0.114 	0.252 
024243 	0.374 	0.167 	0.113 	0.251 
024244 	0.375 	0.171 	0.113 	0.254 
024245 	0.370 	0.169 	0.114 	0.258 
024246 	0.369 	0.170 	0.113 	0.258 
024247 	0.367 	0.169 	0.114 	0.255 
024248 	0.368 	0.168 	0.114 	0.248 
024249 	0.369 	0.164 	0.115 	0.249 
024250 	0.372 	0.162 	0.115 	0.244 
024251 	0.372 	0.152 	0.113 	0.250 
024252 	0.375 	0.146 	0.113 	0.259 
024253 	0.379 	0.139 	0.112 	0.270 
024254 	0.383 	0.135 	0.114 	0.267 
024255 	0.386 	0.135 	0.115 	0.256 
024256 	0.393 	0.133 	0.112 	0.253 
024257 	0.398 	0.129 	0.115 	0.253 
024258 	0.403 	0.123 	0.116 	0.258 
024259 	0.408 	0.122 	0.117 	0.255 
024260 	0.415 	0.126 	0.116 	0.250 
024261 	0.422 	0.125 	0.117 	0.251 
024262 	0.426 	0.121 	0.115 	0.255 
024263 	0.429 	0.124 	0.116 	0.254 
024264 	0.433 	0.130 	0.117 	0.248 
024265 	0.437 	0.131 	0.117 	0.248 
024266 	0.441 	0.133 	0.115 	0.246 
024267 	0.447 	0.135 	0.113 	0.245 
024268 	0.449 	0.133 	0.112 	0.250 
024269 	0.452 	0.135 	0.113 	0.248 
024270 	0.454 	0.134 	0.114 	0.250 
024271 	0.456 	0.133 	0.114 	0.251 
024272 	0.458 	0.133 	0.113 	0.253 
024273 	0.459 	0.133 	0.115 	0.252 
024274 	0.459 	0.129 	0.115 	0.255 
024275 	0.460 	0.131 	0.114 	0.251 
024276 	0.461 	0.131 	0.114 	0.251 
024277 	0.461 	0.131 	0.115 	0.251 
024278 	0.461 	0.132 	0.115 	0.251 
024279 	0.462 	0.131 	0.115 	0.251 
024280 	0.462 	0.132 	0.114 	0.250 
024281 	0.462 	0.130 	0.114 	0.253 
024282 	0.464 	0.128 	0.111 	0.255 
024283 	0.463 	0.124 	0.111 	0.256 
024284 	0.463 	0.121 	0.112 	0.258 
024285 	0.462 	0.125 	0.112 	0.251 
024286 	0.461 	0.124 	0.111 	0.250 
024287 	0.457 	0.119 	0.110 	0.255 
024288 	0.458 	0.118 	0.111 	0.252 
024289 	0.459 	0.115 	0.113 	0.250 
024290 	0.461 	0.112 	0.112 	0.250 
024291 	0.463 	0.111 	0.111 	0.245 
024292 	0.462 	0.109 	0.113 	0.246 
024293 	0.461 	0.110 	0.112 	0.244 
024294 	0.460 	0.109 	0.112 	0.248 
024295 	0.460 	0.110 	0.112 	0.248 
