Text:  SO I INVITE YOU IF YOU WANT TO HELP TRANSFORM THE NEXT GENERATION OF ECONOMICS GET BUSY WITH YOUR 
Conf:  5
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
024739 	0.385 	0.138 	0.108 	0.238 
024740 	0.381 	0.138 	0.105 	0.239 
024741 	0.375 	0.138 	0.105 	0.242 
024742 	0.373 	0.147 	0.104 	0.241 
024743 	0.366 	0.149 	0.106 	0.251 
024744 	0.358 	0.148 	0.107 	0.255 
024745 	0.350 	0.151 	0.109 	0.253 
024746 	0.344 	0.151 	0.112 	0.253 
024747 	0.341 	0.150 	0.110 	0.256 
024748 	0.340 	0.150 	0.110 	0.257 
024749 	0.342 	0.151 	0.110 	0.255 
024750 	0.342 	0.152 	0.112 	0.251 
024751 	0.345 	0.149 	0.113 	0.249 
024752 	0.350 	0.148 	0.112 	0.254 
024753 	0.352 	0.147 	0.115 	0.255 
024754 	0.358 	0.150 	0.116 	0.252 
024755 	0.364 	0.157 	0.114 	0.244 
024756 	0.369 	0.159 	0.113 	0.244 
024757 	0.373 	0.156 	0.113 	0.249 
024758 	0.381 	0.158 	0.112 	0.248 
024759 	0.390 	0.156 	0.111 	0.247 
024760 	0.396 	0.153 	0.109 	0.249 
024761 	0.401 	0.153 	0.110 	0.249 
024762 	0.406 	0.152 	0.111 	0.248 
024763 	0.411 	0.151 	0.115 	0.246 
024764 	0.417 	0.154 	0.113 	0.244 
024765 	0.424 	0.158 	0.114 	0.241 
024766 	0.428 	0.156 	0.111 	0.245 
024767 	0.435 	0.159 	0.110 	0.244 
024768 	0.441 	0.161 	0.109 	0.242 
024769 	0.447 	0.160 	0.108 	0.243 
024770 	0.451 	0.162 	0.108 	0.239 
024771 	0.455 	0.164 	0.108 	0.234 
024772 	0.457 	0.165 	0.109 	0.234 
024773 	0.460 	0.164 	0.109 	0.238 
024774 	0.463 	0.165 	0.109 	0.242 
024775 	0.464 	0.164 	0.108 	0.241 
024776 	0.466 	0.164 	0.108 	0.243 
024777 	0.466 	0.165 	0.108 	0.242 
024778 	0.467 	0.163 	0.107 	0.245 
024779 	0.468 	0.162 	0.107 	0.249 
024780 	0.468 	0.164 	0.108 	0.246 
024781 	0.469 	0.164 	0.106 	0.247 
024782 	0.470 	0.164 	0.106 	0.247 
024783 	0.471 	0.164 	0.106 	0.248 
024784 	0.471 	0.164 	0.106 	0.248 
024785 	0.471 	0.164 	0.106 	0.249 
024786 	0.471 	0.165 	0.106 	0.248 
024787 	0.470 	0.164 	0.107 	0.248 
024788 	0.471 	0.164 	0.107 	0.246 
024789 	0.470 	0.162 	0.108 	0.247 
024790 	0.470 	0.162 	0.107 	0.247 
024791 	0.470 	0.163 	0.108 	0.245 
024792 	0.471 	0.164 	0.107 	0.246 
024793 	0.471 	0.164 	0.108 	0.245 
024794 	0.471 	0.165 	0.108 	0.245 
024795 	0.471 	0.165 	0.108 	0.246 
024796 	0.471 	0.164 	0.108 	0.246 
024797 	0.471 	0.165 	0.108 	0.245 
024798 	0.470 	0.164 	0.108 	0.243 
024799 	0.470 	0.162 	0.108 	0.243 
024800 	0.470 	0.161 	0.107 	0.244 
024801 	0.470 	0.160 	0.107 	0.243 
024802 	0.469 	0.159 	0.107 	0.242 
024803 	0.466 	0.155 	0.110 	0.241 
024804 	0.464 	0.149 	0.109 	0.247 
024805 	0.462 	0.144 	0.108 	0.246 
024806 	0.456 	0.143 	0.109 	0.238 
024807 	0.453 	0.138 	0.109 	0.239 
024808 	0.451 	0.132 	0.110 	0.245 
024809 	0.449 	0.131 	0.110 	0.247 
024810 	0.449 	0.134 	0.108 	0.244 
024811 	0.449 	0.137 	0.108 	0.238 
024812 	0.448 	0.142 	0.109 	0.237 
024813 	0.448 	0.145 	0.109 	0.240 
024814 	0.448 	0.140 	0.107 	0.251 
024815 	0.448 	0.140 	0.107 	0.256 
024816 	0.448 	0.140 	0.106 	0.259 
024817 	0.447 	0.140 	0.109 	0.255 
024818 	0.445 	0.144 	0.110 	0.241 
024819 	0.444 	0.144 	0.111 	0.234 
024820 	0.445 	0.143 	0.109 	0.237 
024821 	0.446 	0.142 	0.109 	0.241 
024822 	0.446 	0.142 	0.109 	0.245 
024823 	0.447 	0.140 	0.108 	0.251 
024824 	0.447 	0.145 	0.110 	0.243 
024825 	0.449 	0.141 	0.109 	0.249 
024826 	0.451 	0.144 	0.108 	0.248 
024827 	0.454 	0.149 	0.108 	0.244 
024828 	0.459 	0.155 	0.108 	0.241 
024829 	0.463 	0.157 	0.107 	0.246 
024830 	0.466 	0.157 	0.108 	0.245 
024831 	0.470 	0.155 	0.107 	0.245 
024832 	0.474 	0.155 	0.106 	0.245 
024833 	0.476 	0.155 	0.108 	0.242 
024834 	0.479 	0.156 	0.108 	0.240 
024835 	0.483 	0.155 	0.107 	0.241 
024836 	0.483 	0.152 	0.106 	0.240 
024837 	0.485 	0.152 	0.106 	0.241 
024838 	0.486 	0.151 	0.106 	0.242 
024839 	0.488 	0.151 	0.106 	0.242 
024840 	0.489 	0.151 	0.107 	0.242 
024841 	0.491 	0.152 	0.105 	0.239 
024842 	0.492 	0.152 	0.105 	0.241 
024843 	0.494 	0.152 	0.104 	0.243 
024844 	0.495 	0.155 	0.103 	0.243 
024845 	0.495 	0.158 	0.103 	0.242 
024846 	0.494 	0.159 	0.103 	0.240 
024847 	0.493 	0.159 	0.105 	0.244 
024848 	0.491 	0.158 	0.107 	0.248 
024849 	0.491 	0.158 	0.108 	0.247 
024850 	0.491 	0.159 	0.107 	0.248 
024851 	0.492 	0.160 	0.107 	0.246 
024852 	0.491 	0.159 	0.108 	0.247 
024853 	0.491 	0.159 	0.107 	0.250 
024854 	0.490 	0.159 	0.107 	0.247 
024855 	0.489 	0.161 	0.107 	0.240 
024856 	0.488 	0.157 	0.109 	0.240 
024857 	0.486 	0.154 	0.108 	0.240 
024858 	0.483 	0.151 	0.108 	0.241 
024859 	0.480 	0.150 	0.108 	0.243 
024860 	0.480 	0.156 	0.108 	0.243 
024861 	0.476 	0.156 	0.108 	0.243 
024862 	0.473 	0.156 	0.109 	0.244 
024863 	0.471 	0.154 	0.109 	0.248 
024864 	0.469 	0.153 	0.110 	0.252 
024865 	0.469 	0.153 	0.109 	0.250 
024866 	0.469 	0.157 	0.109 	0.246 
024867 	0.471 	0.160 	0.110 	0.241 
024868 	0.473 	0.161 	0.109 	0.239 
024869 	0.476 	0.160 	0.107 	0.238 
024870 	0.478 	0.158 	0.108 	0.241 
024871 	0.479 	0.159 	0.106 	0.239 
024872 	0.479 	0.160 	0.105 	0.240 
024873 	0.479 	0.158 	0.103 	0.242 
024874 	0.479 	0.157 	0.103 	0.243 
024875 	0.479 	0.156 	0.104 	0.244 
024876 	0.478 	0.155 	0.104 	0.248 
024877 	0.476 	0.154 	0.106 	0.248 
024878 	0.475 	0.152 	0.108 	0.248 
024879 	0.474 	0.153 	0.109 	0.248 
024880 	0.474 	0.154 	0.107 	0.248 
024881 	0.474 	0.154 	0.107 	0.244 
024882 	0.472 	0.152 	0.107 	0.247 
024883 	0.470 	0.152 	0.109 	0.242 
024884 	0.469 	0.150 	0.110 	0.242 
024885 	0.467 	0.145 	0.110 	0.245 
024886 	0.466 	0.146 	0.111 	0.240 
024887 	0.464 	0.143 	0.112 	0.242 
024888 	0.462 	0.143 	0.114 	0.240 
024889 	0.462 	0.144 	0.112 	0.240 
024890 	0.462 	0.145 	0.112 	0.241 
024891 	0.462 	0.145 	0.112 	0.244 
024892 	0.461 	0.147 	0.112 	0.246 
024893 	0.461 	0.149 	0.110 	0.246 
024894 	0.461 	0.149 	0.110 	0.246 
024895 	0.461 	0.149 	0.109 	0.246 
024896 	0.460 	0.148 	0.109 	0.247 
024897 	0.460 	0.148 	0.109 	0.248 
024898 	0.459 	0.149 	0.109 	0.249 
024899 	0.459 	0.150 	0.108 	0.248 
024900 	0.460 	0.150 	0.106 	0.248 
024901 	0.459 	0.151 	0.106 	0.249 
024902 	0.459 	0.153 	0.106 	0.249 
024903 	0.458 	0.152 	0.106 	0.250 
024904 	0.458 	0.153 	0.106 	0.248 
024905 	0.458 	0.152 	0.106 	0.250 
024906 	0.458 	0.152 	0.106 	0.250 
024907 	0.458 	0.149 	0.106 	0.252 
024908 	0.457 	0.149 	0.105 	0.251 
024909 	0.457 	0.147 	0.105 	0.251 
024910 	0.456 	0.146 	0.106 	0.251 
024911 	0.455 	0.144 	0.105 	0.250 
024912 	0.453 	0.145 	0.105 	0.250 
024913 	0.452 	0.144 	0.106 	0.251 
024914 	0.450 	0.146 	0.106 	0.251 
024915 	0.447 	0.149 	0.107 	0.249 
024916 	0.443 	0.150 	0.107 	0.247 
024917 	0.441 	0.152 	0.107 	0.248 
024918 	0.440 	0.152 	0.107 	0.249 
024919 	0.441 	0.150 	0.107 	0.247 
024920 	0.444 	0.151 	0.107 	0.246 
024921 	0.447 	0.151 	0.106 	0.246 
024922 	0.451 	0.152 	0.105 	0.246 
024923 	0.452 	0.153 	0.104 	0.249 
024924 	0.452 	0.157 	0.105 	0.248 
024925 	0.452 	0.160 	0.105 	0.246 
024926 	0.451 	0.164 	0.102 	0.248 
024927 	0.448 	0.168 	0.103 	0.249 
024928 	0.444 	0.177 	0.106 	0.242 
024929 	0.440 	0.181 	0.106 	0.237 
024930 	0.435 	0.182 	0.108 	0.238 
024931 	0.433 	0.180 	0.107 	0.242 
024932 	0.431 	0.178 	0.104 	0.243 
024933 	0.427 	0.184 	0.105 	0.239 
024934 	0.422 	0.182 	0.106 	0.241 
024935 	0.414 	0.181 	0.109 	0.238 
024936 	0.411 	0.182 	0.109 	0.237 
024937 	0.408 	0.185 	0.107 	0.237 
024938 	0.405 	0.186 	0.103 	0.234 
024939 	0.400 	0.192 	0.102 	0.225 
024940 	0.395 	0.191 	0.104 	0.229 
024941 	0.391 	0.185 	0.105 	0.235 
024942 	0.388 	0.187 	0.104 	0.238 

WORD START END ASDSCORE
SO 0.06 0.30 5.9
I 0.30 0.49 7.8
INVITE 0.49 0.85 7.4
YOU 0.85 1.20 4.3
IF 2.49 2.61 4.1
YOU 2.65 2.77 7.3
WANT 2.77 2.96 10.5
TO 2.96 3.02 11.4
HELP 3.02 3.23 11.5
TRANSFORM 3.23 3.94 7.8
THE 4.45 4.53 5.6
NEXT 4.53 4.75 8.6
GENERATION 4.75 5.23 9.5
OF 5.23 5.29 8.4
ECONOMICS 5.29 5.91 7.5
GET 7.50 7.67 2.3
BUSY 7.67 7.86 5.0
WITH 7.86 7.95 6.3
YOUR 7.95 8.05 6.2
