Text:  WE UNDERSTAND THE HAZARDS OF 1 OF THEM
Conf:  1
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
003029 	0.529 	0.148 	0.073 	0.201 
003030 	0.535 	0.153 	0.069 	0.203 
003031 	0.536 	0.155 	0.068 	0.207 
003032 	0.537 	0.156 	0.068 	0.206 
003033 	0.536 	0.153 	0.069 	0.210 
003034 	0.536 	0.152 	0.068 	0.208 
003035 	0.537 	0.145 	0.069 	0.214 
003036 	0.536 	0.143 	0.069 	0.214 
003037 	0.536 	0.142 	0.069 	0.213 
003038 	0.535 	0.142 	0.069 	0.208 
003039 	0.535 	0.140 	0.068 	0.204 
003040 	0.536 	0.138 	0.069 	0.203 
003041 	0.535 	0.137 	0.070 	0.205 
003042 	0.535 	0.137 	0.070 	0.206 
003043 	0.537 	0.141 	0.067 	0.204 
003044 	0.538 	0.142 	0.065 	0.207 
003045 	0.539 	0.139 	0.066 	0.206 
003046 	0.539 	0.140 	0.066 	0.206 
003047 	0.539 	0.141 	0.066 	0.206 
003048 	0.540 	0.141 	0.066 	0.212 
003049 	0.539 	0.139 	0.067 	0.217 
003050 	0.539 	0.140 	0.068 	0.219 
003051 	0.540 	0.142 	0.068 	0.219 
003052 	0.540 	0.143 	0.068 	0.214 
003053 	0.540 	0.143 	0.067 	0.210 
003054 	0.539 	0.141 	0.069 	0.210 
003055 	0.539 	0.142 	0.069 	0.210 
003056 	0.539 	0.143 	0.068 	0.206 
003057 	0.539 	0.142 	0.068 	0.212 
003058 	0.540 	0.143 	0.068 	0.209 
003059 	0.540 	0.144 	0.068 	0.211 
003060 	0.540 	0.147 	0.068 	0.208 
003061 	0.541 	0.146 	0.069 	0.216 
003062 	0.540 	0.150 	0.068 	0.205 
003063 	0.542 	0.146 	0.068 	0.214 
003064 	0.543 	0.146 	0.067 	0.214 
003065 	0.543 	0.152 	0.066 	0.201 
003066 	0.543 	0.155 	0.066 	0.200 
003067 	0.543 	0.154 	0.066 	0.200 
003068 	0.543 	0.153 	0.067 	0.205 
003069 	0.542 	0.147 	0.071 	0.214 
003070 	0.542 	0.145 	0.072 	0.218 
003071 	0.542 	0.145 	0.074 	0.219 
003072 	0.544 	0.144 	0.072 	0.217 
003073 	0.543 	0.144 	0.074 	0.218 
003074 	0.544 	0.143 	0.074 	0.218 
003075 	0.544 	0.148 	0.075 	0.212 
003076 	0.543 	0.148 	0.077 	0.215 
003077 	0.544 	0.148 	0.078 	0.214 
003078 	0.552 	0.155 	0.072 	0.201 
003079 	0.554 	0.157 	0.071 	0.201 
003080 	0.556 	0.157 	0.070 	0.201 
003081 	0.557 	0.156 	0.071 	0.208 
003082 	0.558 	0.154 	0.070 	0.209 
003083 	0.558 	0.154 	0.071 	0.209 
003084 	0.558 	0.155 	0.070 	0.208 
003085 	0.558 	0.155 	0.071 	0.208 
003086 	0.557 	0.156 	0.071 	0.206 
003087 	0.557 	0.156 	0.072 	0.208 
