Text:  HOW DOES NATURE CROSSLINK
Conf:  3
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
013143 	0.236 	0.111 	0.093 	0.257 
013144 	0.235 	0.110 	0.094 	0.256 
013145 	0.235 	0.111 	0.094 	0.253 
013146 	0.234 	0.112 	0.093 	0.253 
013147 	0.233 	0.109 	0.094 	0.256 
013148 	0.231 	0.110 	0.095 	0.255 
013149 	0.232 	0.108 	0.094 	0.260 
013150 	0.232 	0.107 	0.094 	0.260 
013151 	0.232 	0.107 	0.093 	0.257 
013152 	0.232 	0.107 	0.093 	0.256 
013153 	0.232 	0.106 	0.094 	0.250 
013154 	0.232 	0.105 	0.094 	0.247 
013155 	0.232 	0.105 	0.094 	0.247 
013156 	0.232 	0.104 	0.093 	0.247 
013157 	0.233 	0.102 	0.092 	0.252 
013158 	0.233 	0.102 	0.093 	0.253 
013159 	0.232 	0.101 	0.094 	0.252 
013160 	0.235 	0.101 	0.092 	0.252 
013161 	0.236 	0.099 	0.089 	0.250 
013162 	0.235 	0.097 	0.090 	0.249 
013163 	0.235 	0.096 	0.089 	0.247 
013164 	0.234 	0.093 	0.090 	0.251 
013165 	0.231 	0.087 	0.092 	0.252 
013166 	0.226 	0.089 	0.091 	0.257 
013167 	0.226 	0.089 	0.088 	0.263 
013168 	0.225 	0.091 	0.089 	0.264 
013169 	0.225 	0.092 	0.090 	0.264 
013170 	0.224 	0.097 	0.092 	0.254 
013171 	0.226 	0.099 	0.092 	0.248 
013172 	0.226 	0.100 	0.093 	0.246 
013173 	0.225 	0.101 	0.095 	0.246 
013174 	0.226 	0.101 	0.094 	0.248 
013175 	0.227 	0.101 	0.093 	0.252 
013176 	0.228 	0.100 	0.094 	0.254 
013177 	0.229 	0.101 	0.093 	0.255 
013178 	0.229 	0.101 	0.094 	0.256 
013179 	0.230 	0.101 	0.095 	0.255 
013180 	0.230 	0.100 	0.094 	0.258 
013181 	0.231 	0.099 	0.094 	0.257 
013182 	0.231 	0.100 	0.094 	0.256 
