Text:  THAT'S WHAT YOU DESCRIBED RIGHT
Conf:  5
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
015040 	0.290 	0.106 	0.113 	0.310 
015041 	0.288 	0.105 	0.114 	0.311 
015042 	0.285 	0.099 	0.117 	0.316 
015043 	0.288 	0.097 	0.112 	0.317 
015044 	0.289 	0.096 	0.110 	0.322 
015045 	0.290 	0.093 	0.109 	0.326 
015046 	0.294 	0.092 	0.105 	0.319 
015047 	0.301 	0.100 	0.099 	0.310 
015048 	0.300 	0.101 	0.099 	0.312 
015049 	0.299 	0.100 	0.100 	0.314 
015050 	0.294 	0.100 	0.103 	0.315 
015051 	0.292 	0.104 	0.104 	0.308 
015052 	0.282 	0.108 	0.110 	0.306 
015053 	0.278 	0.105 	0.112 	0.312 
015054 	0.279 	0.108 	0.110 	0.312 
015055 	0.278 	0.109 	0.110 	0.308 
015056 	0.281 	0.109 	0.107 	0.310 
015057 	0.285 	0.110 	0.104 	0.312 
015058 	0.285 	0.106 	0.103 	0.322 
015059 	0.286 	0.106 	0.103 	0.326 
015060 	0.286 	0.106 	0.102 	0.325 
015061 	0.284 	0.108 	0.104 	0.323 
015062 	0.284 	0.113 	0.105 	0.310 
015063 	0.284 	0.115 	0.105 	0.305 
015064 	0.285 	0.111 	0.104 	0.313 
015065 	0.287 	0.111 	0.104 	0.320 
015066 	0.288 	0.108 	0.105 	0.324 
015067 	0.293 	0.109 	0.103 	0.321 
015068 	0.293 	0.113 	0.102 	0.318 
015069 	0.293 	0.116 	0.102 	0.312 
015070 	0.295 	0.122 	0.103 	0.307 
