Text:  COULD COMPANIES ACTUALLY STOP COMPETING WITH EACH OTHER BUT COOPERATE
Conf:  2
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
019562 	0.496 	0.089 	0.063 	0.171 
019563 	0.495 	0.091 	0.064 	0.172 
019564 	0.496 	0.091 	0.063 	0.170 
019565 	0.496 	0.092 	0.062 	0.168 
019566 	0.497 	0.092 	0.062 	0.167 
019567 	0.496 	0.092 	0.063 	0.166 
019568 	0.496 	0.092 	0.063 	0.166 
019569 	0.496 	0.093 	0.064 	0.164 
019570 	0.496 	0.093 	0.063 	0.168 
019571 	0.496 	0.095 	0.062 	0.172 
019572 	0.497 	0.096 	0.061 	0.173 
019573 	0.495 	0.096 	0.062 	0.173 
019574 	0.493 	0.095 	0.063 	0.166 
019575 	0.492 	0.097 	0.064 	0.166 
019576 	0.492 	0.098 	0.064 	0.166 
019577 	0.491 	0.098 	0.064 	0.166 
019578 	0.491 	0.098 	0.065 	0.166 
019579 	0.491 	0.098 	0.065 	0.165 
019580 	0.492 	0.096 	0.065 	0.166 
019581 	0.492 	0.096 	0.064 	0.165 
019582 	0.492 	0.095 	0.065 	0.166 
019583 	0.493 	0.094 	0.064 	0.165 
019584 	0.494 	0.094 	0.063 	0.168 
019585 	0.494 	0.094 	0.062 	0.170 
019586 	0.493 	0.094 	0.063 	0.174 
019587 	0.492 	0.095 	0.063 	0.177 
019588 	0.492 	0.096 	0.063 	0.177 
019589 	0.492 	0.095 	0.063 	0.169 
019590 	0.493 	0.096 	0.062 	0.165 
019591 	0.492 	0.095 	0.063 	0.164 
019592 	0.492 	0.096 	0.062 	0.166 
019593 	0.493 	0.096 	0.062 	0.165 
019594 	0.493 	0.096 	0.061 	0.165 
019595 	0.493 	0.097 	0.062 	0.164 
019596 	0.493 	0.098 	0.063 	0.162 
019597 	0.493 	0.098 	0.062 	0.165 
019598 	0.492 	0.098 	0.063 	0.172 
019599 	0.493 	0.097 	0.062 	0.174 
019600 	0.491 	0.097 	0.064 	0.162 
019601 	0.493 	0.096 	0.062 	0.165 
019602 	0.494 	0.095 	0.062 	0.164 
019603 	0.493 	0.095 	0.062 	0.165 
019604 	0.495 	0.095 	0.061 	0.166 
019605 	0.494 	0.094 	0.062 	0.169 
019606 	0.496 	0.094 	0.060 	0.165 
019607 	0.496 	0.094 	0.060 	0.164 
019608 	0.496 	0.094 	0.060 	0.165 
019609 	0.495 	0.094 	0.061 	0.168 
019610 	0.491 	0.094 	0.065 	0.170 
019611 	0.492 	0.093 	0.063 	0.170 
019612 	0.491 	0.094 	0.064 	0.166 
019613 	0.490 	0.094 	0.063 	0.165 
019614 	0.489 	0.092 	0.063 	0.166 
019615 	0.487 	0.089 	0.064 	0.166 
019616 	0.487 	0.090 	0.063 	0.166 
019617 	0.486 	0.088 	0.065 	0.166 
019618 	0.486 	0.089 	0.064 	0.165 
019619 	0.485 	0.088 	0.065 	0.167 
019620 	0.484 	0.092 	0.065 	0.165 
019621 	0.484 	0.093 	0.065 	0.164 
019622 	0.484 	0.093 	0.064 	0.164 
019623 	0.483 	0.092 	0.065 	0.165 
019624 	0.482 	0.093 	0.065 	0.167 
019625 	0.482 	0.093 	0.066 	0.166 
019626 	0.482 	0.093 	0.065 	0.166 
019627 	0.483 	0.094 	0.064 	0.166 
019628 	0.484 	0.093 	0.063 	0.166 
019629 	0.484 	0.094 	0.063 	0.164 
019630 	0.484 	0.097 	0.061 	0.163 
019631 	0.485 	0.094 	0.061 	0.167 
019632 	0.486 	0.096 	0.059 	0.167 
019633 	0.485 	0.096 	0.060 	0.166 
019634 	0.486 	0.095 	0.059 	0.168 
019635 	0.486 	0.093 	0.058 	0.171 
019636 	0.486 	0.093 	0.059 	0.171 
019637 	0.486 	0.092 	0.059 	0.175 
019638 	0.486 	0.094 	0.059 	0.175 
019639 	0.486 	0.091 	0.060 	0.175 
019640 	0.485 	0.090 	0.061 	0.168 
019641 	0.485 	0.090 	0.062 	0.169 
019642 	0.485 	0.093 	0.061 	0.167 
019643 	0.485 	0.095 	0.061 	0.166 
019644 	0.485 	0.094 	0.061 	0.167 
019645 	0.485 	0.093 	0.062 	0.171 
019646 	0.484 	0.093 	0.064 	0.172 
019647 	0.484 	0.092 	0.064 	0.172 
019648 	0.484 	0.092 	0.063 	0.170 
019649 	0.485 	0.093 	0.061 	0.169 
019650 	0.484 	0.092 	0.062 	0.169 
