Text:  WHAT WOULD THAT LOOK LIKE
Conf:  5
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
019660 	0.484 	0.091 	0.064 	0.173 
019661 	0.485 	0.091 	0.063 	0.171 
019662 	0.485 	0.089 	0.062 	0.170 
019663 	0.486 	0.089 	0.062 	0.168 
019664 	0.487 	0.088 	0.060 	0.169 
019665 	0.487 	0.085 	0.060 	0.170 
019666 	0.487 	0.085 	0.062 	0.171 
019667 	0.487 	0.082 	0.063 	0.173 
019668 	0.489 	0.082 	0.061 	0.171 
019669 	0.489 	0.083 	0.060 	0.171 
019670 	0.488 	0.080 	0.061 	0.173 
019671 	0.488 	0.078 	0.061 	0.171 
019672 	0.487 	0.079 	0.061 	0.170 
019673 	0.486 	0.078 	0.062 	0.169 
019674 	0.487 	0.078 	0.060 	0.169 
019675 	0.484 	0.079 	0.060 	0.166 
019676 	0.483 	0.078 	0.060 	0.166 
019677 	0.479 	0.078 	0.061 	0.165 
019678 	0.477 	0.080 	0.061 	0.165 
019679 	0.471 	0.075 	0.063 	0.170 
019680 	0.468 	0.071 	0.059 	0.179 
019681 	0.463 	0.071 	0.062 	0.175 
019682 	0.462 	0.072 	0.061 	0.171 
019683 	0.458 	0.069 	0.063 	0.171 
019684 	0.454 	0.070 	0.064 	0.168 
019685 	0.448 	0.067 	0.066 	0.169 
