Text:  WE'RE DOING THAT NOW WITH OUR DESIGN CHALLENGES
Conf:  2
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
019690 	0.432 	0.066 	0.063 	0.167 
019691 	0.429 	0.067 	0.065 	0.168 
019692 	0.428 	0.067 	0.064 	0.166 
019693 	0.428 	0.069 	0.064 	0.167 
019694 	0.425 	0.068 	0.065 	0.172 
019695 	0.426 	0.068 	0.064 	0.166 
019696 	0.426 	0.068 	0.064 	0.168 
019697 	0.426 	0.070 	0.064 	0.164 
019698 	0.428 	0.070 	0.062 	0.163 
019699 	0.428 	0.066 	0.061 	0.164 
019700 	0.428 	0.063 	0.061 	0.163 
019701 	0.430 	0.063 	0.060 	0.163 
019702 	0.431 	0.063 	0.058 	0.163 
019703 	0.431 	0.063 	0.059 	0.166 
019704 	0.432 	0.063 	0.058 	0.168 
019705 	0.432 	0.065 	0.060 	0.168 
019706 	0.430 	0.065 	0.062 	0.171 
019707 	0.431 	0.066 	0.060 	0.174 
019708 	0.430 	0.066 	0.062 	0.174 
019709 	0.431 	0.068 	0.062 	0.171 
019710 	0.431 	0.070 	0.061 	0.172 
019711 	0.430 	0.071 	0.061 	0.170 
019712 	0.430 	0.071 	0.062 	0.167 
019713 	0.430 	0.070 	0.062 	0.170 
019714 	0.429 	0.070 	0.063 	0.173 
019715 	0.429 	0.071 	0.062 	0.175 
019716 	0.428 	0.071 	0.063 	0.174 
019717 	0.428 	0.072 	0.062 	0.169 
019718 	0.428 	0.074 	0.063 	0.168 
019719 	0.427 	0.073 	0.063 	0.171 
019720 	0.425 	0.075 	0.063 	0.168 
019721 	0.425 	0.073 	0.063 	0.171 
019722 	0.423 	0.073 	0.065 	0.175 
019723 	0.425 	0.072 	0.064 	0.177 
019724 	0.425 	0.072 	0.063 	0.180 
019725 	0.425 	0.072 	0.062 	0.167 
019726 	0.425 	0.072 	0.062 	0.168 
019727 	0.426 	0.071 	0.060 	0.172 
019728 	0.426 	0.071 	0.060 	0.171 
019729 	0.427 	0.073 	0.060 	0.169 
019730 	0.426 	0.072 	0.060 	0.169 
019731 	0.426 	0.078 	0.061 	0.163 
019732 	0.426 	0.076 	0.062 	0.165 
019733 	0.425 	0.074 	0.064 	0.168 
019734 	0.426 	0.077 	0.062 	0.163 
019735 	0.422 	0.078 	0.064 	0.165 
019736 	0.421 	0.078 	0.065 	0.170 
019737 	0.421 	0.078 	0.064 	0.171 
019738 	0.421 	0.079 	0.064 	0.171 
019739 	0.417 	0.078 	0.066 	0.170 
019740 	0.415 	0.078 	0.066 	0.168 
019741 	0.414 	0.078 	0.066 	0.172 
019742 	0.416 	0.077 	0.063 	0.171 
019743 	0.414 	0.077 	0.065 	0.173 
019744 	0.413 	0.076 	0.066 	0.170 
019745 	0.413 	0.075 	0.065 	0.171 
019746 	0.413 	0.076 	0.064 	0.169 
019747 	0.412 	0.074 	0.065 	0.172 
019748 	0.414 	0.075 	0.063 	0.169 
019749 	0.413 	0.077 	0.064 	0.169 
019750 	0.414 	0.076 	0.064 	0.169 
