Text:  SO WHAT CAN YOU DO
Conf:  6
Ref:   0FkuRwU8HFc

FRAME 	X 	Y 	W 	H 
020556 	0.361 	0.072 	0.063 	0.176 
020557 	0.361 	0.073 	0.063 	0.174 
020558 	0.361 	0.072 	0.064 	0.175 
020559 	0.363 	0.073 	0.062 	0.172 
020560 	0.364 	0.074 	0.061 	0.169 
020561 	0.364 	0.074 	0.062 	0.170 
020562 	0.364 	0.073 	0.062 	0.169 
020563 	0.365 	0.072 	0.062 	0.174 
020564 	0.365 	0.073 	0.063 	0.172 
020565 	0.367 	0.073 	0.065 	0.172 
020566 	0.370 	0.074 	0.062 	0.170 
020567 	0.369 	0.072 	0.064 	0.174 
020568 	0.370 	0.075 	0.063 	0.169 
020569 	0.371 	0.077 	0.061 	0.166 
020570 	0.372 	0.074 	0.062 	0.170 
020571 	0.372 	0.075 	0.061 	0.169 
020572 	0.372 	0.077 	0.061 	0.165 
020573 	0.372 	0.075 	0.062 	0.169 
020574 	0.371 	0.075 	0.063 	0.170 
020575 	0.371 	0.076 	0.062 	0.168 
020576 	0.370 	0.075 	0.064 	0.171 
020577 	0.371 	0.075 	0.064 	0.170 
020578 	0.371 	0.077 	0.063 	0.165 
020579 	0.372 	0.079 	0.061 	0.163 
020580 	0.373 	0.079 	0.060 	0.161 
020581 	0.372 	0.076 	0.062 	0.163 
020582 	0.371 	0.074 	0.063 	0.167 
020583 	0.373 	0.075 	0.061 	0.166 
