Text:  AND THEY'LL HAVE AROUND THE WALLS SOME SMART BOARDS SO THAT THERE THEY CAN SEE THE PROGRESS THEY MAKE
Conf:  1
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
016142 	0.386 	0.139 	0.131 	0.330 
016143 	0.386 	0.139 	0.129 	0.328 
016144 	0.386 	0.138 	0.128 	0.326 
016145 	0.387 	0.140 	0.127 	0.323 
016146 	0.387 	0.138 	0.126 	0.328 
016147 	0.389 	0.139 	0.126 	0.327 
016148 	0.388 	0.138 	0.126 	0.326 
016149 	0.390 	0.138 	0.125 	0.329 
016150 	0.389 	0.138 	0.126 	0.325 
016151 	0.389 	0.137 	0.125 	0.326 
016152 	0.391 	0.140 	0.124 	0.322 
016153 	0.391 	0.140 	0.124 	0.322 
016154 	0.392 	0.140 	0.123 	0.320 
016155 	0.393 	0.138 	0.122 	0.326 
016156 	0.394 	0.139 	0.122 	0.325 
016157 	0.393 	0.138 	0.123 	0.333 
016158 	0.392 	0.137 	0.125 	0.337 
016159 	0.393 	0.139 	0.126 	0.326 
016160 	0.393 	0.138 	0.127 	0.324 
016161 	0.394 	0.140 	0.128 	0.322 
016162 	0.395 	0.139 	0.128 	0.331 
016163 	0.398 	0.142 	0.128 	0.324 
016164 	0.399 	0.144 	0.128 	0.325 
016165 	0.401 	0.144 	0.127 	0.329 
016166 	0.400 	0.146 	0.128 	0.324 
016167 	0.401 	0.147 	0.128 	0.319 
016168 	0.402 	0.149 	0.128 	0.316 
016169 	0.402 	0.147 	0.128 	0.313 
016170 	0.402 	0.145 	0.127 	0.322 
016171 	0.402 	0.144 	0.126 	0.326 
016172 	0.402 	0.145 	0.125 	0.325 
016173 	0.403 	0.147 	0.128 	0.314 
016174 	0.401 	0.144 	0.125 	0.325 
016175 	0.399 	0.145 	0.129 	0.325 
016176 	0.398 	0.145 	0.129 	0.324 
016177 	0.396 	0.144 	0.132 	0.322 
016178 	0.396 	0.144 	0.132 	0.322 
016179 	0.397 	0.144 	0.131 	0.320 
016180 	0.398 	0.142 	0.130 	0.323 
016181 	0.398 	0.145 	0.129 	0.322 
016182 	0.397 	0.143 	0.130 	0.326 
016183 	0.398 	0.143 	0.131 	0.326 
016184 	0.401 	0.145 	0.127 	0.324 
016185 	0.400 	0.142 	0.128 	0.324 
016186 	0.399 	0.142 	0.129 	0.324 
016187 	0.400 	0.142 	0.127 	0.323 
016188 	0.399 	0.142 	0.128 	0.325 
016189 	0.400 	0.142 	0.126 	0.327 
016190 	0.399 	0.144 	0.126 	0.324 
016191 	0.397 	0.146 	0.129 	0.319 
016192 	0.398 	0.146 	0.127 	0.318 
016193 	0.399 	0.145 	0.127 	0.322 
016194 	0.401 	0.147 	0.125 	0.331 
016195 	0.399 	0.146 	0.126 	0.330 
016196 	0.398 	0.145 	0.125 	0.329 
016197 	0.399 	0.143 	0.124 	0.327 
016198 	0.397 	0.142 	0.125 	0.322 
016199 	0.398 	0.143 	0.124 	0.322 
016200 	0.399 	0.145 	0.122 	0.321 
016201 	0.397 	0.142 	0.123 	0.321 
016202 	0.397 	0.142 	0.123 	0.321 
016203 	0.396 	0.140 	0.125 	0.324 
016204 	0.398 	0.143 	0.121 	0.321 
016205 	0.395 	0.142 	0.126 	0.320 
016206 	0.394 	0.137 	0.126 	0.324 
016207 	0.394 	0.137 	0.125 	0.323 
016208 	0.393 	0.134 	0.126 	0.326 
016209 	0.394 	0.135 	0.125 	0.325 
016210 	0.393 	0.135 	0.125 	0.326 
016211 	0.393 	0.134 	0.126 	0.328 
016212 	0.392 	0.135 	0.125 	0.328 
016213 	0.392 	0.133 	0.124 	0.328 
016214 	0.392 	0.138 	0.123 	0.321 
016215 	0.390 	0.140 	0.122 	0.321 
016216 	0.388 	0.138 	0.124 	0.324 
016217 	0.389 	0.142 	0.121 	0.319 
016218 	0.389 	0.139 	0.122 	0.323 
016219 	0.387 	0.139 	0.125 	0.321 
016220 	0.386 	0.139 	0.126 	0.321 
016221 	0.389 	0.137 	0.124 	0.323 
016222 	0.387 	0.133 	0.127 	0.325 
016223 	0.387 	0.133 	0.127 	0.325 
016224 	0.390 	0.133 	0.125 	0.327 
016225 	0.390 	0.135 	0.125 	0.324 
016226 	0.391 	0.133 	0.125 	0.328 
016227 	0.391 	0.133 	0.125 	0.328 
016228 	0.391 	0.135 	0.127 	0.330 
016229 	0.390 	0.133 	0.129 	0.330 
016230 	0.391 	0.134 	0.128 	0.327 
016231 	0.394 	0.134 	0.125 	0.325 
016232 	0.394 	0.133 	0.127 	0.326 
016233 	0.393 	0.134 	0.126 	0.321 
016234 	0.393 	0.133 	0.127 	0.323 
016235 	0.393 	0.132 	0.125 	0.326 
016236 	0.395 	0.135 	0.123 	0.323 
016237 	0.394 	0.137 	0.124 	0.324 
016238 	0.391 	0.136 	0.125 	0.322 
016239 	0.390 	0.137 	0.124 	0.322 
016240 	0.388 	0.135 	0.127 	0.322 
016241 	0.387 	0.138 	0.126 	0.319 
016242 	0.385 	0.139 	0.127 	0.322 
016243 	0.387 	0.138 	0.125 	0.321 
016244 	0.385 	0.136 	0.126 	0.325 
016245 	0.389 	0.138 	0.121 	0.322 
016246 	0.389 	0.138 	0.122 	0.321 
016247 	0.388 	0.137 	0.124 	0.327 
016248 	0.387 	0.135 	0.125 	0.326 
016249 	0.386 	0.135 	0.124 	0.326 
016250 	0.384 	0.134 	0.125 	0.325 
016251 	0.384 	0.134 	0.125 	0.325 
016252 	0.384 	0.134 	0.125 	0.325 
016253 	0.383 	0.134 	0.126 	0.329 
016254 	0.383 	0.135 	0.126 	0.330 
016255 	0.382 	0.135 	0.127 	0.328 
016256 	0.383 	0.138 	0.124 	0.325 
016257 	0.382 	0.140 	0.125 	0.323 
016258 	0.381 	0.140 	0.126 	0.326 
016259 	0.381 	0.143 	0.127 	0.322 
016260 	0.380 	0.143 	0.129 	0.321 
016261 	0.379 	0.143 	0.129 	0.320 
016262 	0.379 	0.142 	0.128 	0.321 
016263 	0.381 	0.145 	0.124 	0.320 
016264 	0.378 	0.140 	0.126 	0.327 
016265 	0.378 	0.138 	0.126 	0.334 
016266 	0.375 	0.146 	0.127 	0.323 
016267 	0.377 	0.147 	0.125 	0.320 
016268 	0.376 	0.148 	0.126 	0.320 
016269 	0.377 	0.150 	0.125 	0.317 
