Text:  SO DESIGNERS NEED TO BE ALL OVER THIS PROCESS
Conf:  4
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
017531 	0.356 	0.162 	0.075 	0.199 
017532 	0.356 	0.161 	0.077 	0.200 
017533 	0.356 	0.161 	0.076 	0.200 
017534 	0.356 	0.162 	0.076 	0.202 
017535 	0.354 	0.160 	0.077 	0.200 
017536 	0.353 	0.156 	0.079 	0.203 
017537 	0.354 	0.158 	0.077 	0.203 
017538 	0.354 	0.158 	0.076 	0.201 
017539 	0.354 	0.158 	0.076 	0.197 
017540 	0.353 	0.158 	0.076 	0.198 
017541 	0.353 	0.158 	0.077 	0.200 
017542 	0.353 	0.158 	0.077 	0.202 
017543 	0.354 	0.160 	0.076 	0.199 
017544 	0.355 	0.161 	0.075 	0.197 
017545 	0.355 	0.161 	0.075 	0.197 
017546 	0.355 	0.160 	0.075 	0.203 
017547 	0.356 	0.159 	0.076 	0.204 
017548 	0.356 	0.160 	0.075 	0.203 
017549 	0.355 	0.160 	0.076 	0.203 
017550 	0.355 	0.160 	0.077 	0.203 
017551 	0.354 	0.160 	0.079 	0.203 
017552 	0.355 	0.160 	0.078 	0.203 
017553 	0.355 	0.158 	0.079 	0.202 
017554 	0.356 	0.160 	0.079 	0.201 
017555 	0.355 	0.158 	0.079 	0.203 
017556 	0.355 	0.136 	0.085 	0.234 
017557 	0.357 	0.156 	0.079 	0.204 
017558 	0.356 	0.155 	0.079 	0.205 
017559 	0.356 	0.155 	0.078 	0.206 
017560 	0.359 	0.156 	0.076 	0.203 
017561 	0.357 	0.154 	0.079 	0.196 
017562 	0.357 	0.153 	0.079 	0.195 
017563 	0.359 	0.152 	0.077 	0.199 
017564 	0.360 	0.151 	0.076 	0.204 
017565 	0.359 	0.151 	0.077 	0.203 
017566 	0.359 	0.152 	0.078 	0.200 
017567 	0.360 	0.154 	0.077 	0.200 
017568 	0.360 	0.153 	0.076 	0.201 
017569 	0.360 	0.153 	0.076 	0.201 
017570 	0.360 	0.153 	0.077 	0.204 
017571 	0.364 	0.153 	0.079 	0.199 
017572 	0.359 	0.145 	0.081 	0.209 
017573 	0.360 	0.154 	0.077 	0.196 
017574 	0.360 	0.155 	0.076 	0.198 
017575 	0.360 	0.155 	0.076 	0.200 
017576 	0.359 	0.156 	0.077 	0.204 
017577 	0.360 	0.159 	0.076 	0.201 
017578 	0.360 	0.161 	0.076 	0.198 
017579 	0.359 	0.160 	0.076 	0.199 
017580 	0.360 	0.161 	0.074 	0.193 
017581 	0.359 	0.159 	0.075 	0.193 
017582 	0.359 	0.161 	0.077 	0.198 
017583 	0.359 	0.164 	0.075 	0.199 
017584 	0.358 	0.165 	0.077 	0.201 
017585 	0.358 	0.169 	0.078 	0.199 
017586 	0.357 	0.171 	0.082 	0.202 
017587 	0.357 	0.171 	0.081 	0.206 
017588 	0.357 	0.180 	0.080 	0.194 
017589 	0.358 	0.183 	0.080 	0.194 
017590 	0.358 	0.185 	0.079 	0.193 
017591 	0.358 	0.186 	0.080 	0.192 
017592 	0.358 	0.189 	0.078 	0.193 
017593 	0.358 	0.190 	0.080 	0.191 
017594 	0.358 	0.190 	0.080 	0.191 
017595 	0.357 	0.190 	0.081 	0.192 
017596 	0.357 	0.190 	0.080 	0.193 
017597 	0.358 	0.190 	0.079 	0.195 
017598 	0.359 	0.190 	0.081 	0.193 
