Text:  NOW THIS VEHICLE IS AN OBJECT LESSON IN BEING THE RIGHT TOOL FOR THE JOB
Conf:  5
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
020733 	0.413 	0.144 	0.130 	0.332 
020734 	0.412 	0.144 	0.133 	0.334 
020735 	0.413 	0.144 	0.132 	0.332 
020736 	0.413 	0.145 	0.132 	0.328 
020737 	0.413 	0.147 	0.130 	0.328 
020738 	0.414 	0.143 	0.130 	0.332 
020739 	0.415 	0.143 	0.128 	0.334 
020740 	0.416 	0.150 	0.127 	0.322 
020741 	0.416 	0.151 	0.126 	0.323 
020742 	0.416 	0.149 	0.127 	0.329 
020743 	0.416 	0.149 	0.127 	0.329 
020744 	0.418 	0.150 	0.125 	0.323 
020745 	0.416 	0.149 	0.127 	0.326 
020746 	0.416 	0.149 	0.128 	0.320 
020747 	0.415 	0.149 	0.128 	0.321 
020748 	0.414 	0.148 	0.129 	0.320 
020749 	0.414 	0.147 	0.129 	0.324 
020750 	0.415 	0.148 	0.128 	0.323 
020751 	0.415 	0.148 	0.130 	0.324 
020752 	0.416 	0.150 	0.127 	0.322 
020753 	0.415 	0.149 	0.127 	0.324 
020754 	0.415 	0.149 	0.128 	0.326 
020755 	0.415 	0.150 	0.127 	0.324 
020756 	0.415 	0.150 	0.128 	0.324 
020757 	0.415 	0.150 	0.127 	0.323 
020758 	0.413 	0.149 	0.129 	0.324 
020759 	0.413 	0.149 	0.128 	0.322 
020760 	0.411 	0.148 	0.130 	0.321 
020761 	0.410 	0.148 	0.129 	0.325 
020762 	0.411 	0.147 	0.129 	0.327 
020763 	0.409 	0.148 	0.132 	0.325 
020764 	0.409 	0.147 	0.130 	0.328 
020765 	0.407 	0.147 	0.131 	0.326 
020766 	0.407 	0.145 	0.131 	0.329 
020767 	0.408 	0.146 	0.129 	0.325 
020768 	0.408 	0.146 	0.129 	0.325 
020769 	0.408 	0.144 	0.129 	0.325 
020770 	0.407 	0.145 	0.129 	0.325 
020771 	0.408 	0.145 	0.128 	0.328 
020772 	0.408 	0.145 	0.128 	0.329 
020773 	0.409 	0.147 	0.126 	0.327 
020774 	0.409 	0.146 	0.125 	0.326 
020775 	0.409 	0.145 	0.126 	0.327 
020776 	0.409 	0.142 	0.126 	0.331 
020777 	0.410 	0.140 	0.125 	0.332 
020778 	0.408 	0.138 	0.129 	0.337 
020779 	0.409 	0.137 	0.128 	0.336 
020780 	0.410 	0.139 	0.127 	0.331 
020781 	0.413 	0.139 	0.124 	0.330 
020782 	0.415 	0.138 	0.124 	0.325 
020783 	0.414 	0.135 	0.124 	0.326 
020784 	0.414 	0.134 	0.125 	0.331 
020785 	0.416 	0.134 	0.124 	0.333 
020786 	0.414 	0.136 	0.126 	0.331 
020787 	0.414 	0.136 	0.128 	0.331 
020788 	0.414 	0.135 	0.130 	0.334 
020789 	0.414 	0.135 	0.130 	0.335 
020790 	0.414 	0.135 	0.128 	0.338 
020791 	0.413 	0.140 	0.129 	0.330 
020792 	0.413 	0.140 	0.129 	0.330 
