Text:  I GET INTO THE AIRCRAFT JOIN MY FELLOW PASSENGERS
Conf:  4
Ref:   0LxPAY9yis8

FRAME 	X 	Y 	W 	H 
022506 	0.526 	0.125 	0.125 	0.319 
022507 	0.526 	0.126 	0.124 	0.317 
022508 	0.526 	0.124 	0.124 	0.319 
022509 	0.525 	0.121 	0.123 	0.321 
022510 	0.524 	0.123 	0.123 	0.313 
022511 	0.520 	0.123 	0.126 	0.313 
022512 	0.516 	0.115 	0.128 	0.322 
022513 	0.512 	0.110 	0.128 	0.331 
022514 	0.511 	0.113 	0.125 	0.325 
022515 	0.506 	0.112 	0.126 	0.328 
022516 	0.502 	0.112 	0.125 	0.326 
022517 	0.499 	0.117 	0.122 	0.322 
022518 	0.490 	0.111 	0.126 	0.328 
022519 	0.482 	0.113 	0.123 	0.324 
022520 	0.477 	0.113 	0.123 	0.320 
022521 	0.470 	0.113 	0.126 	0.322 
022522 	0.459 	0.110 	0.130 	0.323 
022523 	0.453 	0.109 	0.128 	0.327 
022524 	0.446 	0.111 	0.130 	0.324 
022525 	0.446 	0.111 	0.130 	0.324 
022526 	0.441 	0.112 	0.126 	0.323 
022527 	0.433 	0.111 	0.129 	0.332 
022528 	0.429 	0.115 	0.124 	0.327 
022529 	0.422 	0.122 	0.124 	0.321 
022530 	0.414 	0.120 	0.129 	0.327 
022531 	0.409 	0.119 	0.129 	0.327 
022532 	0.404 	0.121 	0.128 	0.327 
022533 	0.401 	0.123 	0.126 	0.325 
022534 	0.397 	0.124 	0.126 	0.331 
022535 	0.395 	0.127 	0.125 	0.330 
022536 	0.393 	0.128 	0.123 	0.332 
022537 	0.392 	0.133 	0.122 	0.329 
022538 	0.390 	0.138 	0.121 	0.322 
022539 	0.384 	0.135 	0.127 	0.321 
022540 	0.383 	0.141 	0.127 	0.320 
022541 	0.382 	0.141 	0.125 	0.322 
022542 	0.384 	0.142 	0.121 	0.323 
022543 	0.382 	0.143 	0.121 	0.325 
022544 	0.382 	0.141 	0.119 	0.327 
022545 	0.381 	0.142 	0.119 	0.325 
022546 	0.380 	0.141 	0.119 	0.330 
022547 	0.379 	0.141 	0.122 	0.328 
022548 	0.375 	0.144 	0.126 	0.319 
022549 	0.373 	0.143 	0.127 	0.322 
022550 	0.373 	0.143 	0.127 	0.322 
022551 	0.375 	0.144 	0.122 	0.324 
022552 	0.375 	0.147 	0.121 	0.319 
022553 	0.373 	0.147 	0.121 	0.315 
022554 	0.370 	0.145 	0.124 	0.314 
022555 	0.370 	0.147 	0.124 	0.311 
022556 	0.369 	0.148 	0.125 	0.310 
022557 	0.369 	0.147 	0.122 	0.313 
022558 	0.370 	0.145 	0.122 	0.321 
022559 	0.370 	0.145 	0.123 	0.321 
022560 	0.372 	0.148 	0.120 	0.320 
022561 	0.373 	0.149 	0.122 	0.319 
022562 	0.374 	0.152 	0.123 	0.310 
022563 	0.378 	0.151 	0.121 	0.315 
022564 	0.378 	0.149 	0.119 	0.320 
022565 	0.377 	0.145 	0.120 	0.329 
022566 	0.378 	0.145 	0.123 	0.333 
022567 	0.383 	0.151 	0.118 	0.324 
022568 	0.382 	0.151 	0.120 	0.323 
022569 	0.384 	0.153 	0.119 	0.319 
022570 	0.385 	0.154 	0.118 	0.318 
022571 	0.384 	0.153 	0.119 	0.322 
022572 	0.385 	0.154 	0.119 	0.321 
022573 	0.386 	0.155 	0.118 	0.320 
022574 	0.386 	0.155 	0.118 	0.320 
022575 	0.388 	0.157 	0.117 	0.317 
022576 	0.389 	0.157 	0.118 	0.319 
022577 	0.389 	0.158 	0.118 	0.316 
022578 	0.391 	0.162 	0.118 	0.312 
022579 	0.389 	0.162 	0.120 	0.313 
022580 	0.390 	0.162 	0.120 	0.315 
022581 	0.391 	0.163 	0.120 	0.315 
