Text:  SO IN 2000 WHEN IT WAS ANNOUNCED THAT THE CITIZENSHIP APPLICATION FEE WAS GOING TO MORE THAN
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
004525 	0.599 	0.119 	0.151 	0.394 
004526 	0.600 	0.119 	0.153 	0.386 
004527 	0.600 	0.119 	0.155 	0.379 
004528 	0.601 	0.119 	0.155 	0.378 
004529 	0.602 	0.116 	0.156 	0.384 
004530 	0.602 	0.113 	0.154 	0.393 
004531 	0.602 	0.114 	0.156 	0.386 
004532 	0.603 	0.115 	0.157 	0.385 
004533 	0.605 	0.121 	0.154 	0.386 
004534 	0.605 	0.123 	0.154 	0.388 
004535 	0.605 	0.125 	0.153 	0.386 
004536 	0.604 	0.128 	0.153 	0.383 
004537 	0.602 	0.127 	0.155 	0.384 
004538 	0.602 	0.134 	0.154 	0.378 
004539 	0.600 	0.137 	0.156 	0.381 
004540 	0.600 	0.137 	0.156 	0.381 
004541 	0.598 	0.139 	0.155 	0.379 
004542 	0.597 	0.142 	0.155 	0.390 
004543 	0.593 	0.147 	0.156 	0.395 
004544 	0.593 	0.150 	0.157 	0.396 
004545 	0.589 	0.154 	0.159 	0.390 
004546 	0.588 	0.156 	0.158 	0.389 
004547 	0.584 	0.158 	0.159 	0.386 
004548 	0.583 	0.157 	0.157 	0.384 
004549 	0.580 	0.158 	0.158 	0.384 
004550 	0.575 	0.159 	0.160 	0.384 
004551 	0.573 	0.159 	0.162 	0.387 
004552 	0.569 	0.158 	0.163 	0.386 
004553 	0.567 	0.158 	0.164 	0.385 
004554 	0.564 	0.157 	0.164 	0.384 
004555 	0.562 	0.158 	0.165 	0.388 
004556 	0.560 	0.156 	0.163 	0.390 
004557 	0.557 	0.156 	0.167 	0.391 
004558 	0.554 	0.154 	0.167 	0.397 
004559 	0.559 	0.152 	0.162 	0.399 
004560 	0.557 	0.149 	0.161 	0.405 
004561 	0.556 	0.145 	0.161 	0.415 
004562 	0.553 	0.142 	0.160 	0.413 
004563 	0.552 	0.140 	0.160 	0.406 
004564 	0.550 	0.139 	0.159 	0.401 
004565 	0.550 	0.139 	0.159 	0.401 
004566 	0.547 	0.137 	0.161 	0.402 
004567 	0.546 	0.137 	0.158 	0.401 
004568 	0.544 	0.137 	0.158 	0.398 
004569 	0.543 	0.135 	0.158 	0.401 
004570 	0.542 	0.136 	0.159 	0.402 
004571 	0.542 	0.135 	0.158 	0.405 
004572 	0.541 	0.137 	0.158 	0.405 
004573 	0.542 	0.138 	0.156 	0.406 
004574 	0.542 	0.138 	0.156 	0.413 
004575 	0.539 	0.141 	0.159 	0.404 
004576 	0.539 	0.140 	0.160 	0.404 
004577 	0.539 	0.138 	0.160 	0.400 
004578 	0.537 	0.136 	0.160 	0.402 
004579 	0.537 	0.135 	0.160 	0.401 
004580 	0.536 	0.134 	0.159 	0.401 
004581 	0.534 	0.135 	0.160 	0.402 
004582 	0.534 	0.134 	0.161 	0.400 
004583 	0.533 	0.135 	0.160 	0.400 
004584 	0.531 	0.136 	0.161 	0.398 
