Text:  TWO THINGS HAPPENED AS WE COPED WITH LOSS AND RECOVERY IN NEW YORK CITY
Conf:  5
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
006616 	0.599 	0.145 	0.185 	0.476 
006617 	0.594 	0.142 	0.182 	0.469 
006618 	0.593 	0.141 	0.181 	0.468 
006619 	0.592 	0.142 	0.183 	0.462 
006620 	0.590 	0.138 	0.177 	0.468 
006621 	0.587 	0.136 	0.179 	0.469 
006622 	0.587 	0.133 	0.178 	0.475 
006623 	0.585 	0.130 	0.178 	0.477 
006624 	0.584 	0.131 	0.182 	0.474 
006625 	0.583 	0.131 	0.182 	0.477 
006626 	0.583 	0.131 	0.184 	0.474 
006627 	0.579 	0.135 	0.190 	0.477 
006628 	0.580 	0.139 	0.191 	0.473 
006629 	0.577 	0.138 	0.190 	0.473 
006630 	0.576 	0.135 	0.192 	0.475 
006631 	0.573 	0.133 	0.193 	0.474 
006632 	0.571 	0.132 	0.198 	0.475 
006633 	0.570 	0.138 	0.199 	0.474 
006634 	0.566 	0.136 	0.202 	0.483 
006635 	0.568 	0.135 	0.196 	0.488 
006636 	0.567 	0.128 	0.195 	0.495 
006637 	0.566 	0.128 	0.193 	0.489 
006638 	0.564 	0.122 	0.193 	0.494 
006639 	0.561 	0.129 	0.190 	0.481 
006640 	0.561 	0.129 	0.190 	0.481 
006641 	0.560 	0.135 	0.186 	0.478 
006642 	0.551 	0.132 	0.195 	0.480 
006643 	0.548 	0.120 	0.178 	0.485 
006644 	0.545 	0.121 	0.179 	0.475 
006645 	0.540 	0.119 	0.179 	0.475 
006646 	0.534 	0.125 	0.177 	0.468 
006647 	0.529 	0.122 	0.176 	0.471 
006648 	0.524 	0.126 	0.186 	0.472 
006649 	0.519 	0.125 	0.189 	0.477 
006650 	0.512 	0.124 	0.192 	0.476 
006651 	0.508 	0.127 	0.184 	0.463 
006652 	0.505 	0.130 	0.181 	0.460 
006653 	0.500 	0.128 	0.180 	0.454 
006654 	0.496 	0.126 	0.183 	0.454 
006655 	0.492 	0.122 	0.181 	0.461 
006656 	0.489 	0.118 	0.181 	0.467 
006657 	0.484 	0.122 	0.181 	0.470 
006658 	0.480 	0.127 	0.176 	0.468 
006659 	0.478 	0.124 	0.178 	0.479 
006660 	0.474 	0.128 	0.180 	0.478 
006661 	0.469 	0.130 	0.180 	0.480 
006662 	0.463 	0.134 	0.181 	0.477 
006663 	0.461 	0.136 	0.181 	0.473 
006664 	0.459 	0.139 	0.181 	0.469 
006665 	0.459 	0.139 	0.181 	0.469 
006666 	0.456 	0.142 	0.181 	0.464 
006667 	0.452 	0.141 	0.179 	0.468 
