Text:  PEOPLE WHO WERE MEMBERS OF MY FAMILY YOUNG PEOPLE I HAD WORKED WITH WERE EXPERIENCING
Conf:  5
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
007958 	0.641 	0.130 	0.178 	0.483 
007959 	0.644 	0.129 	0.178 	0.479 
007960 	0.643 	0.129 	0.180 	0.475 
007961 	0.641 	0.130 	0.177 	0.478 
007962 	0.638 	0.128 	0.174 	0.484 
007963 	0.637 	0.128 	0.174 	0.480 
007964 	0.636 	0.127 	0.174 	0.479 
007965 	0.636 	0.127 	0.174 	0.479 
007966 	0.632 	0.130 	0.177 	0.476 
007967 	0.631 	0.130 	0.176 	0.473 
007968 	0.628 	0.133 	0.177 	0.465 
007969 	0.627 	0.134 	0.179 	0.464 
007970 	0.623 	0.134 	0.180 	0.462 
007971 	0.620 	0.134 	0.179 	0.458 
007972 	0.615 	0.133 	0.183 	0.459 
007973 	0.611 	0.135 	0.182 	0.454 
007974 	0.608 	0.129 	0.182 	0.460 
007975 	0.604 	0.131 	0.186 	0.458 
007976 	0.599 	0.129 	0.186 	0.459 
007977 	0.593 	0.129 	0.186 	0.462 
007978 	0.587 	0.125 	0.184 	0.466 
007979 	0.581 	0.121 	0.185 	0.472 
007980 	0.575 	0.118 	0.182 	0.478 
007981 	0.570 	0.120 	0.183 	0.477 
007982 	0.566 	0.116 	0.186 	0.482 
007983 	0.563 	0.118 	0.186 	0.485 
007984 	0.559 	0.117 	0.186 	0.480 
007985 	0.555 	0.117 	0.185 	0.472 
007986 	0.550 	0.117 	0.188 	0.475 
007987 	0.549 	0.114 	0.185 	0.484 
007988 	0.550 	0.114 	0.178 	0.474 
007989 	0.548 	0.115 	0.177 	0.469 
007990 	0.548 	0.115 	0.177 	0.469 
007991 	0.545 	0.121 	0.179 	0.458 
007992 	0.542 	0.123 	0.177 	0.461 
007993 	0.538 	0.125 	0.177 	0.458 
007994 	0.535 	0.129 	0.178 	0.456 
007995 	0.532 	0.134 	0.176 	0.455 
007996 	0.527 	0.136 	0.183 	0.452 
007997 	0.523 	0.140 	0.185 	0.449 
007998 	0.520 	0.142 	0.184 	0.458 
007999 	0.516 	0.143 	0.184 	0.464 
008000 	0.512 	0.146 	0.183 	0.466 
008001 	0.508 	0.147 	0.184 	0.462 
008002 	0.508 	0.150 	0.184 	0.456 
008003 	0.504 	0.157 	0.182 	0.455 
008004 	0.501 	0.162 	0.183 	0.457 
008005 	0.496 	0.164 	0.182 	0.465 
008006 	0.493 	0.165 	0.179 	0.472 
008007 	0.488 	0.166 	0.180 	0.474 
008008 	0.485 	0.170 	0.180 	0.471 
008009 	0.481 	0.169 	0.182 	0.468 
008010 	0.477 	0.170 	0.179 	0.468 
008011 	0.473 	0.168 	0.182 	0.477 
008012 	0.468 	0.167 	0.179 	0.478 
008013 	0.464 	0.166 	0.180 	0.483 
008014 	0.461 	0.165 	0.182 	0.485 
008015 	0.461 	0.165 	0.182 	0.485 
008016 	0.458 	0.165 	0.184 	0.485 
008017 	0.454 	0.164 	0.186 	0.485 
008018 	0.451 	0.165 	0.186 	0.481 
008019 	0.450 	0.166 	0.186 	0.478 
008020 	0.448 	0.166 	0.185 	0.476 
008021 	0.447 	0.165 	0.185 	0.479 
008022 	0.444 	0.166 	0.184 	0.482 
008023 	0.443 	0.167 	0.184 	0.480 
008024 	0.442 	0.167 	0.183 	0.478 
008025 	0.439 	0.168 	0.184 	0.478 
008026 	0.445 	0.167 	0.179 	0.476 
008027 	0.443 	0.169 	0.177 	0.475 
008028 	0.442 	0.171 	0.177 	0.475 
008029 	0.440 	0.171 	0.177 	0.475 
008030 	0.439 	0.173 	0.177 	0.475 
008031 	0.437 	0.173 	0.178 	0.475 
008032 	0.435 	0.173 	0.180 	0.472 
008033 	0.435 	0.172 	0.178 	0.473 
008034 	0.433 	0.173 	0.179 	0.469 
008035 	0.432 	0.173 	0.177 	0.464 
008036 	0.430 	0.163 	0.176 	0.476 
008037 	0.423 	0.156 	0.177 	0.487 
008038 	0.416 	0.157 	0.179 	0.468 
008039 	0.411 	0.157 	0.176 	0.458 
008040 	0.411 	0.157 	0.176 	0.458 
008041 	0.404 	0.156 	0.176 	0.460 
008042 	0.400 	0.153 	0.174 	0.470 
008043 	0.397 	0.154 	0.177 	0.461 
008044 	0.392 	0.155 	0.179 	0.462 
008045 	0.389 	0.156 	0.181 	0.459 
008046 	0.385 	0.157 	0.180 	0.457 
008047 	0.382 	0.157 	0.184 	0.460 
008048 	0.380 	0.161 	0.185 	0.459 
008049 	0.378 	0.163 	0.187 	0.461 
008050 	0.376 	0.161 	0.184 	0.470 
008051 	0.373 	0.160 	0.185 	0.470 
008052 	0.371 	0.163 	0.186 	0.465 
008053 	0.370 	0.164 	0.183 	0.462 
