Text:  YOUNG PEOPLE I HAD WORKED WITH WERE BEING HARASSED NOT JUST BY CLASSMATES BUT ALSO BY THEIR
Conf:  1
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
010509 	0.643 	0.100 	0.076 	0.196 
010510 	0.642 	0.101 	0.076 	0.195 
010511 	0.641 	0.101 	0.076 	0.195 
010512 	0.641 	0.101 	0.076 	0.193 
010513 	0.640 	0.101 	0.077 	0.196 
010514 	0.639 	0.101 	0.076 	0.200 
010515 	0.639 	0.101 	0.076 	0.200 
010516 	0.638 	0.102 	0.075 	0.198 
010517 	0.638 	0.106 	0.072 	0.191 
010518 	0.638 	0.108 	0.071 	0.192 
010519 	0.638 	0.109 	0.071 	0.193 
010520 	0.637 	0.110 	0.072 	0.194 
010521 	0.637 	0.111 	0.071 	0.191 
010522 	0.636 	0.112 	0.071 	0.190 
010523 	0.636 	0.115 	0.070 	0.186 
010524 	0.636 	0.115 	0.071 	0.186 
010525 	0.635 	0.114 	0.072 	0.191 
010526 	0.635 	0.114 	0.073 	0.193 
010527 	0.635 	0.114 	0.072 	0.193 
010528 	0.635 	0.115 	0.073 	0.192 
010529 	0.634 	0.115 	0.074 	0.192 
010530 	0.634 	0.116 	0.073 	0.188 
010531 	0.634 	0.117 	0.072 	0.185 
010532 	0.634 	0.117 	0.071 	0.185 
010533 	0.634 	0.116 	0.072 	0.187 
010534 	0.634 	0.117 	0.072 	0.186 
010535 	0.634 	0.116 	0.072 	0.189 
010536 	0.634 	0.117 	0.073 	0.188 
010537 	0.633 	0.116 	0.074 	0.188 
010538 	0.634 	0.116 	0.074 	0.188 
010539 	0.635 	0.115 	0.074 	0.188 
010540 	0.635 	0.115 	0.074 	0.188 
010541 	0.636 	0.116 	0.073 	0.186 
010542 	0.637 	0.116 	0.073 	0.189 
010543 	0.638 	0.116 	0.075 	0.191 
010544 	0.639 	0.116 	0.074 	0.188 
010545 	0.640 	0.116 	0.073 	0.187 
010546 	0.640 	0.115 	0.074 	0.188 
010547 	0.641 	0.114 	0.073 	0.187 
010548 	0.641 	0.112 	0.074 	0.189 
010549 	0.642 	0.112 	0.074 	0.188 
010550 	0.642 	0.112 	0.075 	0.189 
010551 	0.642 	0.112 	0.075 	0.191 
010552 	0.642 	0.113 	0.074 	0.191 
010553 	0.642 	0.112 	0.075 	0.191 
010554 	0.641 	0.112 	0.075 	0.190 
010555 	0.641 	0.113 	0.074 	0.189 
010556 	0.640 	0.113 	0.075 	0.186 
010557 	0.641 	0.114 	0.075 	0.185 
010558 	0.641 	0.116 	0.075 	0.188 
010559 	0.641 	0.115 	0.074 	0.192 
010560 	0.641 	0.116 	0.075 	0.192 
010561 	0.641 	0.116 	0.075 	0.191 
010562 	0.641 	0.115 	0.075 	0.190 
010563 	0.641 	0.115 	0.075 	0.189 
010564 	0.642 	0.114 	0.074 	0.190 
010565 	0.642 	0.114 	0.074 	0.190 
010566 	0.643 	0.112 	0.074 	0.190 
010567 	0.643 	0.110 	0.073 	0.195 
010568 	0.644 	0.112 	0.074 	0.196 
010569 	0.645 	0.113 	0.074 	0.194 
010570 	0.647 	0.115 	0.073 	0.190 
010571 	0.648 	0.116 	0.073 	0.187 
010572 	0.650 	0.118 	0.073 	0.186 
010573 	0.651 	0.118 	0.074 	0.187 
010574 	0.653 	0.118 	0.073 	0.187 
010575 	0.653 	0.118 	0.074 	0.188 
010576 	0.654 	0.119 	0.075 	0.188 
010577 	0.656 	0.116 	0.077 	0.187 
010578 	0.657 	0.115 	0.077 	0.188 
010579 	0.659 	0.116 	0.076 	0.186 
010580 	0.660 	0.117 	0.076 	0.187 
010581 	0.661 	0.118 	0.077 	0.188 
010582 	0.663 	0.117 	0.077 	0.188 
010583 	0.663 	0.117 	0.076 	0.187 
010584 	0.664 	0.116 	0.077 	0.190 
010585 	0.665 	0.116 	0.075 	0.191 
010586 	0.666 	0.116 	0.075 	0.190 
010587 	0.666 	0.117 	0.075 	0.189 
010588 	0.667 	0.116 	0.074 	0.187 
010589 	0.667 	0.114 	0.074 	0.187 
010590 	0.667 	0.114 	0.074 	0.187 
010591 	0.667 	0.113 	0.074 	0.190 
010592 	0.667 	0.113 	0.074 	0.192 
010593 	0.667 	0.113 	0.074 	0.192 
010594 	0.666 	0.113 	0.074 	0.191 
010595 	0.666 	0.114 	0.074 	0.188 
010596 	0.666 	0.114 	0.074 	0.188 
010597 	0.666 	0.113 	0.074 	0.190 
010598 	0.666 	0.114 	0.073 	0.191 
010599 	0.666 	0.114 	0.074 	0.192 
010600 	0.666 	0.115 	0.074 	0.190 
010601 	0.667 	0.115 	0.074 	0.188 
010602 	0.666 	0.115 	0.074 	0.185 
010603 	0.667 	0.115 	0.074 	0.185 
010604 	0.666 	0.115 	0.073 	0.186 
010605 	0.666 	0.114 	0.073 	0.186 
010606 	0.665 	0.113 	0.074 	0.191 
010607 	0.666 	0.113 	0.074 	0.191 
010608 	0.665 	0.114 	0.075 	0.191 
010609 	0.665 	0.113 	0.074 	0.190 
010610 	0.665 	0.113 	0.074 	0.190 
010611 	0.665 	0.113 	0.075 	0.189 
010612 	0.664 	0.113 	0.074 	0.189 
010613 	0.663 	0.113 	0.074 	0.187 
010614 	0.663 	0.114 	0.075 	0.189 
010615 	0.663 	0.114 	0.075 	0.189 
010616 	0.663 	0.114 	0.074 	0.189 
010617 	0.663 	0.113 	0.074 	0.192 
010618 	0.662 	0.113 	0.074 	0.193 
010619 	0.662 	0.111 	0.074 	0.196 
010620 	0.662 	0.110 	0.074 	0.198 
010621 	0.662 	0.109 	0.073 	0.196 
010622 	0.661 	0.109 	0.073 	0.193 
010623 	0.660 	0.108 	0.074 	0.193 
010624 	0.660 	0.109 	0.073 	0.192 
010625 	0.660 	0.110 	0.073 	0.192 
010626 	0.660 	0.110 	0.073 	0.192 
010627 	0.660 	0.110 	0.073 	0.193 
010628 	0.660 	0.111 	0.074 	0.190 
010629 	0.659 	0.113 	0.073 	0.188 
010630 	0.658 	0.112 	0.075 	0.187 
010631 	0.658 	0.112 	0.074 	0.185 
010632 	0.657 	0.113 	0.076 	0.184 
010633 	0.656 	0.113 	0.076 	0.184 
010634 	0.654 	0.115 	0.076 	0.184 
010635 	0.653 	0.114 	0.075 	0.185 
010636 	0.652 	0.114 	0.074 	0.184 
010637 	0.651 	0.115 	0.074 	0.184 
010638 	0.649 	0.115 	0.077 	0.190 
010639 	0.648 	0.115 	0.076 	0.189 
010640 	0.648 	0.115 	0.076 	0.189 
010641 	0.648 	0.115 	0.075 	0.186 
010642 	0.646 	0.116 	0.075 	0.185 
010643 	0.645 	0.115 	0.074 	0.187 
010644 	0.644 	0.115 	0.074 	0.184 
010645 	0.643 	0.116 	0.075 	0.184 
010646 	0.642 	0.116 	0.074 	0.185 
010647 	0.641 	0.117 	0.074 	0.185 
