Text:  AND IT'S THESE THREE THINGS IMMIGRANTS' VOTES VOICES AND VANTAGE POINTS THAT I THINK CAN HELP
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
011167 	0.416 	0.154 	0.178 	0.483 
011168 	0.416 	0.152 	0.179 	0.488 
011169 	0.417 	0.149 	0.179 	0.486 
011170 	0.419 	0.146 	0.176 	0.483 
011171 	0.421 	0.145 	0.176 	0.472 
011172 	0.424 	0.143 	0.177 	0.467 
011173 	0.426 	0.143 	0.179 	0.467 
011174 	0.428 	0.145 	0.178 	0.464 
011175 	0.430 	0.143 	0.177 	0.460 
011176 	0.431 	0.141 	0.178 	0.458 
011177 	0.433 	0.140 	0.176 	0.458 
011178 	0.435 	0.139 	0.176 	0.459 
011179 	0.437 	0.138 	0.177 	0.461 
011180 	0.438 	0.139 	0.176 	0.462 
011181 	0.439 	0.139 	0.177 	0.461 
011182 	0.440 	0.138 	0.176 	0.461 
011183 	0.441 	0.139 	0.175 	0.458 
011184 	0.442 	0.137 	0.175 	0.460 
011185 	0.444 	0.135 	0.173 	0.458 
011186 	0.446 	0.134 	0.175 	0.465 
011187 	0.448 	0.132 	0.176 	0.472 
011188 	0.444 	0.141 	0.180 	0.467 
011189 	0.445 	0.145 	0.183 	0.465 
011190 	0.445 	0.145 	0.183 	0.465 
011191 	0.449 	0.145 	0.185 	0.461 
011192 	0.451 	0.150 	0.186 	0.459 
011193 	0.457 	0.151 	0.184 	0.464 
011194 	0.465 	0.154 	0.181 	0.470 
011195 	0.473 	0.155 	0.181 	0.469 
011196 	0.479 	0.159 	0.180 	0.462 
011197 	0.485 	0.159 	0.180 	0.461 
011198 	0.491 	0.164 	0.180 	0.452 
011199 	0.495 	0.169 	0.184 	0.444 
011200 	0.503 	0.169 	0.182 	0.445 
011201 	0.511 	0.171 	0.183 	0.441 
011202 	0.516 	0.170 	0.181 	0.442 
011203 	0.523 	0.169 	0.182 	0.443 
011204 	0.530 	0.166 	0.181 	0.446 
011205 	0.536 	0.162 	0.180 	0.455 
011206 	0.541 	0.156 	0.177 	0.462 
011207 	0.544 	0.151 	0.178 	0.471 
011208 	0.545 	0.150 	0.179 	0.473 
011209 	0.548 	0.148 	0.179 	0.476 
011210 	0.551 	0.145 	0.182 	0.480 
011211 	0.551 	0.150 	0.181 	0.476 
011212 	0.558 	0.148 	0.179 	0.466 
011213 	0.561 	0.148 	0.177 	0.469 
011214 	0.562 	0.148 	0.177 	0.471 
011215 	0.562 	0.148 	0.177 	0.471 
011216 	0.565 	0.150 	0.177 	0.466 
011217 	0.567 	0.153 	0.176 	0.460 
011218 	0.570 	0.155 	0.178 	0.459 
011219 	0.571 	0.158 	0.177 	0.459 
011220 	0.574 	0.162 	0.180 	0.454 
011221 	0.578 	0.162 	0.178 	0.457 
011222 	0.578 	0.163 	0.180 	0.456 
011223 	0.580 	0.163 	0.180 	0.453 
011224 	0.583 	0.162 	0.181 	0.452 
011225 	0.586 	0.165 	0.181 	0.449 
011226 	0.587 	0.163 	0.179 	0.451 
011227 	0.590 	0.164 	0.179 	0.463 
011228 	0.594 	0.165 	0.179 	0.460 
011229 	0.599 	0.167 	0.181 	0.453 
011230 	0.600 	0.167 	0.182 	0.453 
011231 	0.604 	0.167 	0.182 	0.451 
011232 	0.608 	0.169 	0.182 	0.450 
011233 	0.611 	0.171 	0.184 	0.448 
011234 	0.616 	0.173 	0.183 	0.445 
011235 	0.621 	0.173 	0.183 	0.446 
011236 	0.625 	0.169 	0.183 	0.453 
011237 	0.628 	0.165 	0.181 	0.459 
011238 	0.632 	0.164 	0.182 	0.454 
011239 	0.632 	0.162 	0.185 	0.452 
011240 	0.632 	0.162 	0.185 	0.452 
011241 	0.633 	0.162 	0.186 	0.453 
011242 	0.637 	0.162 	0.184 	0.453 
011243 	0.639 	0.162 	0.183 	0.455 
011244 	0.639 	0.160 	0.181 	0.468 
011245 	0.642 	0.163 	0.180 	0.473 
011246 	0.643 	0.162 	0.180 	0.477 
011247 	0.644 	0.166 	0.180 	0.471 
011248 	0.644 	0.165 	0.180 	0.470 
011249 	0.645 	0.164 	0.180 	0.472 
011250 	0.645 	0.164 	0.180 	0.474 
011251 	0.648 	0.161 	0.179 	0.472 
011252 	0.647 	0.160 	0.180 	0.472 
011253 	0.647 	0.158 	0.178 	0.475 
011254 	0.649 	0.157 	0.177 	0.474 
011255 	0.651 	0.156 	0.175 	0.479 
011256 	0.652 	0.151 	0.177 	0.482 
011257 	0.653 	0.150 	0.179 	0.478 
011258 	0.652 	0.151 	0.177 	0.469 
011259 	0.652 	0.151 	0.179 	0.468 
011260 	0.653 	0.153 	0.179 	0.470 
011261 	0.655 	0.151 	0.174 	0.479 
011262 	0.656 	0.150 	0.175 	0.486 
011263 	0.657 	0.149 	0.175 	0.481 
011264 	0.656 	0.149 	0.178 	0.476 
011265 	0.656 	0.149 	0.178 	0.476 
011266 	0.653 	0.150 	0.178 	0.474 
011267 	0.654 	0.149 	0.177 	0.478 
011268 	0.654 	0.146 	0.172 	0.477 
011269 	0.652 	0.143 	0.174 	0.475 
011270 	0.652 	0.143 	0.174 	0.478 
011271 	0.651 	0.141 	0.173 	0.484 
011272 	0.651 	0.142 	0.173 	0.484 
011273 	0.650 	0.139 	0.174 	0.482 
011274 	0.648 	0.137 	0.174 	0.488 
011275 	0.648 	0.137 	0.176 	0.484 
011276 	0.647 	0.138 	0.174 	0.484 
011277 	0.645 	0.138 	0.175 	0.480 
011278 	0.644 	0.138 	0.176 	0.474 
011279 	0.645 	0.140 	0.180 	0.471 
011280 	0.645 	0.139 	0.179 	0.471 
011281 	0.645 	0.141 	0.178 	0.476 
011282 	0.645 	0.140 	0.177 	0.482 
011283 	0.646 	0.137 	0.178 	0.487 
011284 	0.645 	0.137 	0.179 	0.487 
011285 	0.645 	0.138 	0.181 	0.487 
011286 	0.644 	0.136 	0.180 	0.488 
011287 	0.644 	0.134 	0.180 	0.478 
011288 	0.644 	0.136 	0.181 	0.473 
011289 	0.645 	0.134 	0.182 	0.481 
011290 	0.645 	0.134 	0.182 	0.481 
011291 	0.647 	0.138 	0.181 	0.483 
011292 	0.649 	0.141 	0.180 	0.486 
011293 	0.649 	0.140 	0.183 	0.493 
011294 	0.651 	0.140 	0.181 	0.492 
011295 	0.651 	0.138 	0.181 	0.491 
011296 	0.651 	0.138 	0.182 	0.484 
011297 	0.650 	0.137 	0.184 	0.474 
011298 	0.650 	0.138 	0.183 	0.472 
011299 	0.651 	0.142 	0.180 	0.468 
011300 	0.651 	0.142 	0.181 	0.468 
011301 	0.652 	0.143 	0.180 	0.471 
011302 	0.652 	0.139 	0.178 	0.477 
011303 	0.652 	0.138 	0.180 	0.479 
011304 	0.653 	0.137 	0.181 	0.477 
011305 	0.652 	0.138 	0.178 	0.477 
011306 	0.652 	0.136 	0.179 	0.477 
011307 	0.652 	0.137 	0.178 	0.478 
011308 	0.651 	0.138 	0.177 	0.477 
011309 	0.648 	0.142 	0.180 	0.474 
011310 	0.647 	0.139 	0.180 	0.490 
011311 	0.647 	0.144 	0.178 	0.486 
011312 	0.645 	0.146 	0.179 	0.483 
011313 	0.642 	0.148 	0.180 	0.475 
011314 	0.642 	0.145 	0.178 	0.476 
011315 	0.642 	0.145 	0.178 	0.476 
011316 	0.642 	0.142 	0.179 	0.479 
011317 	0.639 	0.142 	0.183 	0.474 
011318 	0.640 	0.140 	0.180 	0.476 
011319 	0.639 	0.140 	0.182 	0.477 
011320 	0.639 	0.141 	0.179 	0.485 
