Text:  IT WILL COME AS NO SURPRISE TO YOU THAT THE MAJORITY OF VOTERS IN AMERICA ARE WHITE
Conf:  2
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
011946 	0.595 	0.105 	0.082 	0.195 
011947 	0.592 	0.103 	0.082 	0.193 
011948 	0.591 	0.103 	0.081 	0.190 
011949 	0.590 	0.100 	0.081 	0.189 
011950 	0.590 	0.098 	0.079 	0.190 
011951 	0.590 	0.096 	0.078 	0.193 
011952 	0.589 	0.095 	0.077 	0.194 
011953 	0.590 	0.097 	0.075 	0.193 
011954 	0.591 	0.095 	0.073 	0.196 
011955 	0.591 	0.093 	0.072 	0.195 
011956 	0.590 	0.094 	0.073 	0.192 
011957 	0.590 	0.094 	0.073 	0.193 
011958 	0.590 	0.097 	0.072 	0.190 
011959 	0.589 	0.097 	0.072 	0.188 
011960 	0.588 	0.099 	0.070 	0.186 
011961 	0.587 	0.098 	0.071 	0.189 
011962 	0.586 	0.100 	0.071 	0.190 
011963 	0.584 	0.101 	0.072 	0.188 
011964 	0.583 	0.104 	0.072 	0.187 
011965 	0.583 	0.104 	0.072 	0.187 
011966 	0.582 	0.108 	0.072 	0.186 
011967 	0.580 	0.109 	0.073 	0.184 
011968 	0.579 	0.111 	0.073 	0.182 
011969 	0.578 	0.115 	0.073 	0.183 
011970 	0.574 	0.117 	0.073 	0.182 
011971 	0.572 	0.116 	0.074 	0.182 
011972 	0.572 	0.115 	0.074 	0.181 
011973 	0.572 	0.112 	0.073 	0.180 
011974 	0.572 	0.110 	0.074 	0.178 
011975 	0.571 	0.109 	0.075 	0.180 
011976 	0.571 	0.108 	0.075 	0.180 
011977 	0.570 	0.107 	0.076 	0.181 
011978 	0.570 	0.106 	0.077 	0.182 
011979 	0.570 	0.105 	0.077 	0.181 
011980 	0.570 	0.104 	0.077 	0.184 
011981 	0.570 	0.103 	0.077 	0.185 
011982 	0.571 	0.104 	0.076 	0.185 
011983 	0.571 	0.103 	0.077 	0.187 
011984 	0.572 	0.105 	0.075 	0.184 
011985 	0.572 	0.105 	0.075 	0.183 
011986 	0.572 	0.104 	0.076 	0.183 
011987 	0.573 	0.104 	0.077 	0.180 
011988 	0.574 	0.102 	0.076 	0.183 
011989 	0.574 	0.102 	0.076 	0.186 
011990 	0.574 	0.102 	0.076 	0.186 
011991 	0.574 	0.103 	0.076 	0.185 
011992 	0.575 	0.105 	0.075 	0.185 
011993 	0.576 	0.106 	0.075 	0.185 
011994 	0.576 	0.110 	0.075 	0.181 
011995 	0.577 	0.109 	0.075 	0.183 
011996 	0.577 	0.107 	0.077 	0.185 
011997 	0.577 	0.106 	0.078 	0.188 
011998 	0.577 	0.104 	0.079 	0.190 
011999 	0.578 	0.103 	0.079 	0.191 
012000 	0.579 	0.101 	0.079 	0.194 
012001 	0.579 	0.104 	0.079 	0.191 
012002 	0.579 	0.103 	0.080 	0.189 
012003 	0.580 	0.103 	0.079 	0.189 
012004 	0.582 	0.102 	0.080 	0.185 
012005 	0.582 	0.101 	0.081 	0.184 
012006 	0.584 	0.100 	0.080 	0.187 
012007 	0.587 	0.102 	0.078 	0.189 
012008 	0.589 	0.104 	0.077 	0.187 
012009 	0.589 	0.103 	0.079 	0.187 
012010 	0.590 	0.102 	0.079 	0.189 
012011 	0.592 	0.103 	0.079 	0.189 
012012 	0.594 	0.102 	0.079 	0.189 
012013 	0.596 	0.102 	0.079 	0.188 
012014 	0.598 	0.103 	0.079 	0.187 
012015 	0.598 	0.103 	0.079 	0.187 
012016 	0.602 	0.108 	0.079 	0.183 
012017 	0.605 	0.106 	0.079 	0.188 
012018 	0.606 	0.107 	0.079 	0.186 
012019 	0.610 	0.108 	0.078 	0.186 
012020 	0.613 	0.108 	0.077 	0.190 
012021 	0.615 	0.110 	0.076 	0.189 
012022 	0.617 	0.110 	0.077 	0.188 
012023 	0.620 	0.110 	0.077 	0.185 
012024 	0.623 	0.109 	0.078 	0.187 
012025 	0.626 	0.110 	0.077 	0.187 
012026 	0.630 	0.112 	0.078 	0.184 
012027 	0.633 	0.109 	0.078 	0.187 
012028 	0.635 	0.109 	0.079 	0.188 
012029 	0.638 	0.108 	0.079 	0.188 
012030 	0.641 	0.110 	0.078 	0.185 
012031 	0.644 	0.109 	0.078 	0.186 
012032 	0.645 	0.109 	0.080 	0.185 
012033 	0.649 	0.110 	0.079 	0.185 
012034 	0.651 	0.112 	0.078 	0.186 
012035 	0.655 	0.113 	0.079 	0.185 
012036 	0.657 	0.110 	0.080 	0.189 
012037 	0.659 	0.110 	0.080 	0.190 
012038 	0.662 	0.109 	0.080 	0.189 
012039 	0.664 	0.105 	0.080 	0.193 
012040 	0.664 	0.105 	0.080 	0.193 
012041 	0.665 	0.104 	0.081 	0.194 
012042 	0.667 	0.103 	0.081 	0.197 
012043 	0.669 	0.102 	0.082 	0.196 
012044 	0.670 	0.102 	0.081 	0.196 
012045 	0.672 	0.103 	0.081 	0.195 
012046 	0.674 	0.104 	0.079 	0.193 
012047 	0.676 	0.104 	0.077 	0.195 
012048 	0.677 	0.102 	0.079 	0.201 
012049 	0.679 	0.103 	0.078 	0.198 
012050 	0.682 	0.107 	0.079 	0.194 
012051 	0.685 	0.108 	0.080 	0.191 
012052 	0.686 	0.107 	0.081 	0.190 
012053 	0.687 	0.107 	0.082 	0.187 
012054 	0.690 	0.107 	0.080 	0.187 
012055 	0.692 	0.108 	0.080 	0.187 
012056 	0.695 	0.108 	0.079 	0.186 
