Text:  AND WHEN PEOPLE LIKE LAN ARE SITTING AT THE POLICY TABLE THEY CAN MAKE A DIFFERENCE
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
013568 	0.453 	0.155 	0.160 	0.435 
013569 	0.455 	0.152 	0.156 	0.436 
013570 	0.452 	0.156 	0.157 	0.426 
013571 	0.448 	0.157 	0.155 	0.411 
013572 	0.444 	0.162 	0.153 	0.403 
013573 	0.443 	0.162 	0.153 	0.410 
013574 	0.439 	0.160 	0.155 	0.413 
013575 	0.435 	0.159 	0.155 	0.407 
013576 	0.433 	0.155 	0.155 	0.422 
013577 	0.432 	0.153 	0.154 	0.422 
013578 	0.431 	0.155 	0.155 	0.416 
013579 	0.431 	0.156 	0.155 	0.415 
013580 	0.430 	0.155 	0.156 	0.415 
013581 	0.431 	0.157 	0.156 	0.411 
013582 	0.431 	0.160 	0.156 	0.409 
013583 	0.433 	0.161 	0.157 	0.411 
013584 	0.436 	0.163 	0.156 	0.409 
013585 	0.437 	0.164 	0.157 	0.406 
013586 	0.439 	0.163 	0.157 	0.405 
013587 	0.441 	0.162 	0.157 	0.406 
013588 	0.445 	0.160 	0.153 	0.409 
013589 	0.447 	0.157 	0.152 	0.415 
013590 	0.447 	0.157 	0.152 	0.415 
013591 	0.449 	0.155 	0.153 	0.423 
013592 	0.450 	0.154 	0.155 	0.418 
013593 	0.453 	0.152 	0.157 	0.420 
013594 	0.455 	0.151 	0.158 	0.415 
013595 	0.451 	0.150 	0.163 	0.415 
013596 	0.453 	0.150 	0.163 	0.412 
013597 	0.455 	0.149 	0.163 	0.410 
013598 	0.459 	0.149 	0.164 	0.404 
013599 	0.463 	0.150 	0.161 	0.407 
013600 	0.468 	0.149 	0.159 	0.405 
013601 	0.472 	0.147 	0.158 	0.408 
013602 	0.476 	0.144 	0.160 	0.409 
013603 	0.482 	0.145 	0.160 	0.405 
013604 	0.485 	0.141 	0.158 	0.408 
013605 	0.491 	0.141 	0.157 	0.403 
013606 	0.495 	0.136 	0.158 	0.410 
013607 	0.500 	0.134 	0.156 	0.412 
013608 	0.505 	0.132 	0.158 	0.426 
013609 	0.503 	0.135 	0.166 	0.426 
013610 	0.509 	0.134 	0.164 	0.418 
013611 	0.516 	0.135 	0.162 	0.414 
013612 	0.522 	0.128 	0.160 	0.422 
013613 	0.526 	0.127 	0.160 	0.425 
013614 	0.531 	0.129 	0.160 	0.426 
013615 	0.531 	0.129 	0.160 	0.426 
013616 	0.535 	0.132 	0.161 	0.424 
013617 	0.539 	0.139 	0.160 	0.408 
013618 	0.543 	0.141 	0.158 	0.406 
013619 	0.546 	0.145 	0.158 	0.405 
013620 	0.550 	0.145 	0.156 	0.406 
013621 	0.554 	0.139 	0.156 	0.418 
013622 	0.560 	0.138 	0.157 	0.422 
013623 	0.557 	0.142 	0.166 	0.419 
013624 	0.561 	0.147 	0.165 	0.406 
013625 	0.567 	0.148 	0.163 	0.398 
013626 	0.571 	0.149 	0.163 	0.395 
013627 	0.576 	0.149 	0.161 	0.396 
013628 	0.578 	0.148 	0.162 	0.398 
013629 	0.583 	0.146 	0.159 	0.402 
013630 	0.585 	0.147 	0.159 	0.398 
013631 	0.589 	0.145 	0.158 	0.402 
013632 	0.591 	0.146 	0.158 	0.408 
013633 	0.591 	0.149 	0.158 	0.409 
013634 	0.594 	0.148 	0.160 	0.411 
013635 	0.597 	0.148 	0.157 	0.407 
013636 	0.599 	0.150 	0.156 	0.404 
013637 	0.601 	0.149 	0.156 	0.408 
013638 	0.603 	0.148 	0.157 	0.408 
013639 	0.605 	0.149 	0.157 	0.410 
013640 	0.605 	0.149 	0.157 	0.410 
013641 	0.605 	0.150 	0.156 	0.408 
013642 	0.607 	0.148 	0.154 	0.411 
013643 	0.607 	0.150 	0.154 	0.412 
013644 	0.608 	0.149 	0.156 	0.415 
013645 	0.609 	0.148 	0.153 	0.416 
013646 	0.608 	0.145 	0.155 	0.416 
013647 	0.608 	0.143 	0.159 	0.411 
013648 	0.607 	0.144 	0.158 	0.409 
013649 	0.608 	0.143 	0.157 	0.409 
013650 	0.608 	0.140 	0.157 	0.415 
013651 	0.607 	0.143 	0.156 	0.411 
013652 	0.607 	0.141 	0.156 	0.413 
013653 	0.606 	0.142 	0.154 	0.409 
013654 	0.605 	0.142 	0.154 	0.403 
013655 	0.606 	0.143 	0.154 	0.401 
013656 	0.606 	0.146 	0.154 	0.402 
013657 	0.607 	0.146 	0.155 	0.412 
013658 	0.607 	0.148 	0.155 	0.414 
013659 	0.607 	0.148 	0.155 	0.412 
013660 	0.607 	0.148 	0.156 	0.409 
013661 	0.607 	0.149 	0.157 	0.404 
013662 	0.606 	0.150 	0.157 	0.403 
013663 	0.606 	0.153 	0.156 	0.404 
013664 	0.607 	0.153 	0.155 	0.402 
013665 	0.607 	0.153 	0.155 	0.402 
013666 	0.606 	0.156 	0.154 	0.399 
013667 	0.607 	0.157 	0.154 	0.398 
013668 	0.606 	0.158 	0.154 	0.397 
013669 	0.606 	0.159 	0.155 	0.398 
013670 	0.606 	0.159 	0.154 	0.401 
013671 	0.605 	0.159 	0.156 	0.402 
013672 	0.605 	0.160 	0.154 	0.402 
013673 	0.605 	0.161 	0.152 	0.400 
013674 	0.606 	0.159 	0.153 	0.402 
013675 	0.604 	0.159 	0.153 	0.398 
013676 	0.603 	0.151 	0.151 	0.406 
013677 	0.601 	0.146 	0.154 	0.409 
013678 	0.600 	0.141 	0.155 	0.414 
