Text:  WE HAVE FOUGHT TO BE HERE
Conf:  4
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
015603 	0.580 	0.106 	0.152 	0.412 
015604 	0.580 	0.103 	0.153 	0.411 
015605 	0.580 	0.105 	0.154 	0.407 
015606 	0.581 	0.103 	0.155 	0.411 
015607 	0.582 	0.104 	0.152 	0.415 
015608 	0.582 	0.104 	0.149 	0.419 
015609 	0.583 	0.105 	0.150 	0.419 
015610 	0.584 	0.104 	0.148 	0.425 
015611 	0.586 	0.106 	0.150 	0.421 
015612 	0.586 	0.102 	0.151 	0.425 
015613 	0.586 	0.102 	0.152 	0.415 
015614 	0.585 	0.104 	0.151 	0.411 
015615 	0.585 	0.104 	0.151 	0.411 
015616 	0.585 	0.107 	0.152 	0.404 
015617 	0.584 	0.107 	0.152 	0.400 
015618 	0.584 	0.109 	0.152 	0.399 
015619 	0.583 	0.107 	0.152 	0.399 
015620 	0.582 	0.109 	0.152 	0.396 
015621 	0.582 	0.111 	0.155 	0.397 
015622 	0.580 	0.112 	0.154 	0.399 
015623 	0.582 	0.117 	0.152 	0.405 
015624 	0.581 	0.116 	0.154 	0.413 
015625 	0.582 	0.119 	0.152 	0.422 
015626 	0.582 	0.123 	0.152 	0.419 
015627 	0.581 	0.124 	0.155 	0.419 
015628 	0.580 	0.124 	0.155 	0.412 
015629 	0.579 	0.124 	0.156 	0.407 
015630 	0.580 	0.127 	0.157 	0.402 
015631 	0.581 	0.127 	0.156 	0.402 
015632 	0.581 	0.124 	0.156 	0.406 
015633 	0.583 	0.123 	0.158 	0.404 
015634 	0.584 	0.122 	0.157 	0.405 
015635 	0.583 	0.122 	0.156 	0.402 
015636 	0.584 	0.122 	0.156 	0.400 
015637 	0.583 	0.124 	0.156 	0.397 
015638 	0.584 	0.122 	0.154 	0.400 
015639 	0.585 	0.123 	0.153 	0.401 
015640 	0.585 	0.123 	0.153 	0.401 
015641 	0.585 	0.119 	0.155 	0.408 
015642 	0.587 	0.120 	0.154 	0.408 
015643 	0.588 	0.120 	0.153 	0.413 
015644 	0.589 	0.119 	0.151 	0.418 
015645 	0.587 	0.118 	0.153 	0.420 
015646 	0.586 	0.118 	0.153 	0.419 
015647 	0.586 	0.115 	0.153 	0.416 
015648 	0.586 	0.115 	0.155 	0.413 
015649 	0.586 	0.119 	0.156 	0.406 
015650 	0.586 	0.117 	0.157 	0.408 
015651 	0.586 	0.121 	0.151 	0.400 
015652 	0.585 	0.122 	0.153 	0.402 
015653 	0.586 	0.123 	0.149 	0.399 
015654 	0.586 	0.122 	0.154 	0.400 
015655 	0.586 	0.122 	0.152 	0.401 
015656 	0.587 	0.122 	0.153 	0.399 
015657 	0.587 	0.124 	0.154 	0.396 
015658 	0.587 	0.122 	0.154 	0.399 
