Text:  IT'S NOT JUST MY WORK
Conf:  6
Ref:   0d6iSvF1UmA

FRAME 	X 	Y 	W 	H 
017258 	0.683 	0.115 	0.078 	0.200 
017259 	0.684 	0.116 	0.077 	0.194 
017260 	0.686 	0.115 	0.077 	0.189 
017261 	0.687 	0.116 	0.078 	0.190 
017262 	0.688 	0.116 	0.079 	0.189 
017263 	0.690 	0.116 	0.076 	0.190 
017264 	0.692 	0.116 	0.076 	0.192 
017265 	0.692 	0.116 	0.076 	0.192 
017266 	0.693 	0.117 	0.076 	0.189 
017267 	0.695 	0.118 	0.075 	0.182 
017268 	0.697 	0.119 	0.073 	0.181 
017269 	0.698 	0.120 	0.073 	0.180 
017270 	0.698 	0.121 	0.073 	0.179 
017271 	0.698 	0.122 	0.074 	0.180 
017272 	0.698 	0.123 	0.073 	0.181 
017273 	0.697 	0.122 	0.073 	0.180 
017274 	0.696 	0.122 	0.073 	0.184 
017275 	0.696 	0.123 	0.074 	0.192 
017276 	0.696 	0.123 	0.075 	0.195 
017277 	0.696 	0.124 	0.075 	0.193 
017278 	0.695 	0.125 	0.075 	0.187 
017279 	0.695 	0.118 	0.073 	0.195 
017280 	0.694 	0.125 	0.074 	0.181 
017281 	0.694 	0.119 	0.074 	0.193 
017282 	0.693 	0.119 	0.075 	0.196 
017283 	0.693 	0.118 	0.075 	0.197 
017284 	0.693 	0.119 	0.075 	0.196 
017285 	0.692 	0.119 	0.075 	0.197 
017286 	0.693 	0.119 	0.074 	0.196 
017287 	0.693 	0.118 	0.075 	0.199 
017288 	0.693 	0.119 	0.075 	0.197 
017289 	0.693 	0.119 	0.075 	0.198 
017290 	0.693 	0.119 	0.075 	0.198 
017291 	0.693 	0.118 	0.074 	0.200 
017292 	0.692 	0.119 	0.074 	0.200 
