Text:  UNPAID CARE ECONOMY
Conf:  6
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
007872 	0.545 	0.155 	0.089 	0.198 
007873 	0.546 	0.156 	0.088 	0.203 
007874 	0.544 	0.159 	0.088 	0.205 
007875 	0.541 	0.156 	0.089 	0.199 
007876 	0.538 	0.156 	0.089 	0.193 
007877 	0.534 	0.153 	0.089 	0.193 
007878 	0.530 	0.152 	0.088 	0.179 
007879 	0.526 	0.154 	0.086 	0.171 
007880 	0.521 	0.153 	0.085 	0.175 
007881 	0.519 	0.154 	0.083 	0.184 
007882 	0.517 	0.154 	0.083 	0.197 
007883 	0.515 	0.158 	0.083 	0.193 
007884 	0.513 	0.159 	0.084 	0.196 
007885 	0.512 	0.159 	0.084 	0.197 
007886 	0.513 	0.158 	0.083 	0.199 
007887 	0.514 	0.157 	0.082 	0.202 
007888 	0.515 	0.157 	0.082 	0.201 
007889 	0.515 	0.157 	0.082 	0.201 
007890 	0.515 	0.158 	0.082 	0.197 
007891 	0.516 	0.160 	0.082 	0.196 
007892 	0.515 	0.159 	0.085 	0.195 
007893 	0.515 	0.159 	0.085 	0.193 
007894 	0.516 	0.157 	0.083 	0.191 
007895 	0.517 	0.157 	0.082 	0.188 
007896 	0.516 	0.157 	0.084 	0.191 
007897 	0.516 	0.156 	0.084 	0.192 
007898 	0.518 	0.156 	0.084 	0.195 
007899 	0.518 	0.154 	0.086 	0.196 
007900 	0.518 	0.154 	0.087 	0.199 
007901 	0.520 	0.152 	0.086 	0.203 
007902 	0.521 	0.151 	0.085 	0.205 
007903 	0.522 	0.151 	0.084 	0.202 
007904 	0.523 	0.152 	0.084 	0.202 
007905 	0.523 	0.153 	0.085 	0.199 
007906 	0.525 	0.153 	0.084 	0.197 
007907 	0.527 	0.155 	0.084 	0.194 
007908 	0.528 	0.157 	0.084 	0.194 
