Text:  AND THAT'S THE CHALLENGE WE FACE GETTING EVERYBODY OUT OF POVERTY AND COMING BACK WITHIN WHAT
Conf:  4
Ref:   1BHOflzxPjI

FRAME 	X 	Y 	W 	H 
013994 	0.432 	0.176 	0.095 	0.189 
013995 	0.433 	0.176 	0.094 	0.188 
013996 	0.433 	0.177 	0.093 	0.189 
013997 	0.434 	0.175 	0.093 	0.193 
013998 	0.433 	0.171 	0.093 	0.192 
013999 	0.430 	0.164 	0.093 	0.196 
014000 	0.429 	0.162 	0.092 	0.198 
014001 	0.427 	0.161 	0.093 	0.206 
014002 	0.427 	0.167 	0.093 	0.204 
014003 	0.425 	0.177 	0.092 	0.196 
014004 	0.424 	0.185 	0.091 	0.194 
014005 	0.418 	0.186 	0.100 	0.197 
014006 	0.420 	0.192 	0.094 	0.192 
014007 	0.421 	0.191 	0.092 	0.192 
014008 	0.418 	0.180 	0.099 	0.202 
014009 	0.421 	0.180 	0.092 	0.194 
014010 	0.421 	0.176 	0.093 	0.194 
014011 	0.421 	0.173 	0.093 	0.195 
014012 	0.421 	0.167 	0.093 	0.204 
014013 	0.421 	0.165 	0.093 	0.201 
014014 	0.419 	0.162 	0.099 	0.200 
014015 	0.419 	0.162 	0.098 	0.197 
014016 	0.422 	0.164 	0.092 	0.195 
014017 	0.422 	0.165 	0.093 	0.195 
014018 	0.423 	0.165 	0.092 	0.195 
014019 	0.425 	0.165 	0.092 	0.195 
014020 	0.426 	0.164 	0.091 	0.192 
014021 	0.427 	0.162 	0.091 	0.195 
014022 	0.427 	0.161 	0.093 	0.194 
014023 	0.429 	0.162 	0.093 	0.191 
014024 	0.431 	0.163 	0.092 	0.191 
014025 	0.432 	0.165 	0.095 	0.194 
014026 	0.433 	0.170 	0.095 	0.192 
014027 	0.435 	0.175 	0.094 	0.193 
014028 	0.434 	0.175 	0.095 	0.196 
014029 	0.436 	0.176 	0.095 	0.191 
014030 	0.437 	0.174 	0.095 	0.191 
014031 	0.437 	0.175 	0.095 	0.188 
